Company,Title,Location,Rating
Biogen,Manufacturing Investigator II,Cambridge,5
Biogen,Manufacturing Supervisor,Cambridge,1
Biogen,DRUG SAFETY SPECIALIST,Cambridge,4
Biogen,Executive Assistant,Cambridge,4
Biogen,Patient Service Coordinator,Raleigh,5
Biogen,"EA to VP Business Development, Weston",Cambridge,5
Biogen,Patient Services,Research Triangle Park,4
Biogen,Associate II,Cambridge,4
Biogen,Senior Instrumentation III,North Carolina,5
Biogen,"MBA Intern, Materials Procurement",Research Triangle Park,5
Biogen,Sr. Administrative Assistant II,Cambridge,5
Biogen,Patient Data Analyst / Coordinator,Durham,5
Biogen,"Associate Director, Finance",Cambridge,3
Biogen,Commercial Operations Lead,Research Triangle Park,4
Biogen,Study Coordinator,Cambridge,4
Biogen,Patient Services Coordinator,Research Triangle Park,5
Biogen,Patient Advocate,Iowa,4
Biogen,Therapy Support Coordinator,Durham,5
Biogen,Sr. Supervisor,Research Triangle Park,4
Biogen,Associate Scientist II,Cambridge,4
Biogen,Global Project Engineering Intern,Research Triangle Park,5
Biogen,Manufacturing Investigator II,Cambridge,5
Biogen,Senior Associate Scientist,Cambridge,3
Biogen,Senior Associate Scientist - Discovery Research,Cambridge,4
Biogen,Medical Affairs,Weston,2
Biogen,Associate Scientist I,Cambridge,4
Biogen,"Executive Assistant, Global Market Access",Cambridge,5
Biogen,Business Systems Analyst II,Weston,5
Biogen,NA,Durham,4
Biogen,Endeca(OEID) Application Administration & Support,Cambridge,4
Biogen,Research Associate,Cambridge,4
Biogen,Senior Operations Analyst,Cambridge,3
Biogen,Associate Scientist III,Cambridge,5
Biogen,Associate Scientist I,Cambridge,4
Biogen,ANALYST,Cambridge,5
Biogen,Associate Scientist II,Cambridge,4
Biogen,Data Management Administrator,Durham,4
Biogen,Senior Scientist,Waltham,4
Biogen,Biobank Sample and Data Logistics Associate II,Cambridge,4
Biogen,Senior IT Project Manager,Cambridge,5
Biogen,ASSOCIATE III,RTP,5
Biogen,"HR Specialist, HR Operations Excellence",Cambridge,2
Biogen,Manufacturing Investigator II,Cambridge,5
Biogen,Senior Associate Scientist,Cambridge,3
Biogen,Senior Associate Scientist - Discovery Research,Cambridge,4
Biogen,Medical Affairs,Weston,2
Biogen,Associate Scientist I,Cambridge,4
Biogen,"Executive Assistant, Global Market Access",Cambridge,5
Biogen,Business Systems Analyst II,Weston,5
Biogen,NA,Durham,4
Biogen,Endeca(OEID) Application Administration & Support,Cambridge,4
Biogen,Research Associate,Cambridge,4
Biogen,Senior Operations Analyst,Cambridge,3
Biogen,Associate Scientist III,Cambridge,5
Biogen,Associate Scientist I,Cambridge,4
Biogen,ANALYST,Cambridge,5
Biogen,Associate Scientist II,Cambridge,4
Biogen,Data Management Administrator,Durham,4
Biogen,Senior Scientist,Waltham,4
Biogen,Biobank Sample and Data Logistics Associate II,Cambridge,4
Biogen,Senior IT Project Manager,Cambridge,5
Biogen,ASSOCIATE III,RTP,5
Biogen,"HR Specialist, HR Operations Excellence",Cambridge,2
Biogen,Manufacturing Investigator II,Cambridge,5
Biogen,Associate Scientist I,Cambridge,4
Biogen,Associate Scientist III,Cambridge,5
Biogen,ANALYST,Cambridge,5
Biogen,Sr. Patient Data Coordinator -PDC,Morrisville,5
Biogen,Patients Service Coordinator,Research Triangle Park,2
Biogen,Manger,Cambridge,4
Biogen,Patient Services Coordinator,Research Triangle Park,3
Biogen,Manufacturing Associate II,Research Triangle Park,3
Biogen,Assoc. Scientist I,RTP,5
Biogen,Senior Associate Scientist,Cambridge,4
Biogen,Associate Scientist I,Cambridge,4
Biogen,Associate Scientist II,Cambridge,4
Biogen,"Associate II, Quality Control",Morrisville,4
Biogen,Associate Scientist II,Cambridge,4
Biogen,Procurement Analyst,Boston,4
Biogen,Global Supply Chain,Cambridge,3
Biogen,Scientist II,Cambridge,5
Biogen,Global Project Engineering Intern,Research Triangle Park,5
Biogen,Clinical Operations Associate,Cambridge,5
Biogen,"Technical Development, Scientist/Manager",Cambridge,5
Biogen,Manufacturing Investigator II,Cambridge,5
Biogen,Global Project Engineering Intern,Research Triangle Park,5
Biogen,Senior Associate Scientist,Cambridge,4
Biogen,"Associate Scientist II, III (Promoted)",Cambridge,5
Biogen,"HR Specialist, HR Operations Excellence",Cambridge,2
Biogen,"MBA Intern, Materials Procurement",Research Triangle Park,5
Biogen,Research Associate,Cambridge,4
Biogen,Process Modeling Engineer,Cambridge,5
Biogen,Sr. Business Analyst,Cambridge,4
Biogen,Area Business Manager,Scottsdale,5
Biogen,Manufacturing Operator II,Cambridge,4
Biogen,Project Manager (Contract),Cambridge,4
Biogen,"Mechanic III, Maintenance",Research Triangle Park,4
Biogen,"Associate III, Electronic Records Management",San Diego,5
Biogen,Senior Associate Scientist,Cambridge,3
Biogen,Manufacturing Associate II,Research Triangle Park,3
Biogen,Front Desk Officer,Cambridge,4
Biogen,Upstream Manufacturing Associate,Cambridge,3
Biogen,Senior Associate Scientist - Discovery Research,Cambridge,4
Biogen,Associate Scientist I,Cambridge,4
Biogen,Associate Scientist II,Cambridge,4
