Company,Title,Location,Rating
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Processor,Cambridge,4
Blue-Cross-Blue-Shield-of-Massachusetts,Epitec Contractor,Detroit,5
Blue-Cross-Blue-Shield-of-Massachusetts,Clerical Support,Rancho Cordova,5
Blue-Cross-Blue-Shield-of-Massachusetts,FSS Supervisor,Springfield,4
Blue-Cross-Blue-Shield-of-Massachusetts,Clinical Transformation Consultant,Baton Rouge,4
Blue-Cross-Blue-Shield-of-Massachusetts,Social Worker Advocate,Memphis,5
Blue-Cross-Blue-Shield-of-Massachusetts,Business Analyst III,Richardson,4
Blue-Cross-Blue-Shield-of-Massachusetts,cutomer advocate I,tulsa ok,5
Blue-Cross-Blue-Shield-of-Massachusetts,Accounting Clerk II,SC,4
Blue-Cross-Blue-Shield-of-Massachusetts,IPP Host Claims,Durham,3
Blue-Cross-Blue-Shield-of-Massachusetts,Small Group Member Level Processor,Lodi,5
Blue-Cross-Blue-Shield-of-Massachusetts,Programmer/Analyst,Newark,5
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Advocate,Springfield,5
Blue-Cross-Blue-Shield-of-Massachusetts,SALES SUPPORT REPRESENTATIVE,Raleigh,3
Blue-Cross-Blue-Shield-of-Massachusetts,FEP Special Claims Processor I,Baton Rouge,1
Blue-Cross-Blue-Shield-of-Massachusetts,Consumer Intake Specialist,Minneapolis-Saint Paul,3
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Service Professional,Durham,5
Blue-Cross-Blue-Shield-of-Massachusetts,QA Analyst,NC,3
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Service Representative,Raleigh,5
Blue-Cross-Blue-Shield-of-Massachusetts,Database Administration Intern,Meridian,5
Blue-Cross-Blue-Shield-of-Massachusetts,Program Consultant,North Quincy,4
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Processor,Cambridge,4
Blue-Cross-Blue-Shield-of-Massachusetts,Sr. Team Lead - Claim Adj. Project & Queries,Durham,4
Blue-Cross-Blue-Shield-of-Massachusetts,Network Manager Provider Network and Contracting,Knoxville,3
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Service Representative,Raleigh,4
Blue-Cross-Blue-Shield-of-Massachusetts,Membership Professional,Durham,3
Blue-Cross-Blue-Shield-of-Massachusetts,Mail room emplyoee/ Insurance organizer,Chicago,3
Blue-Cross-Blue-Shield-of-Massachusetts,Kelly Services Temp,Columbia,3
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Examiner/processor,Abilene,4
Blue-Cross-Blue-Shield-of-Massachusetts,Sr Automation tester,SF,5
Blue-Cross-Blue-Shield-of-Massachusetts,Health Promotion Coordinator,North Carolina,4
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Advocate/Benefit Value Advisor,Marshall,4
Blue-Cross-Blue-Shield-of-Massachusetts,Information Technology Specialist,Waukegan,1
Blue-Cross-Blue-Shield-of-Massachusetts,Financial Transactions Specialist,Chattanooga,4
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Customer Service Representative,Columbia,4
Blue-Cross-Blue-Shield-of-Massachusetts,medical policy specialist,Baton Rouge,4
Blue-Cross-Blue-Shield-of-Massachusetts,Account Executive,Chicago,4
Blue-Cross-Blue-Shield-of-Massachusetts,Associate Workforce Analyst,Providence,5
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Associate (CA),Chicago,3
Blue-Cross-Blue-Shield-of-Massachusetts,Provider Serivces,Hingham,5
Blue-Cross-Blue-Shield-of-Massachusetts,Consumer Advisor,Tennessee,3
Blue-Cross-Blue-Shield-of-Massachusetts,Project Manager,Macomb,5
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Processor,Cambridge,4
Blue-Cross-Blue-Shield-of-Massachusetts,Sr. Team Lead - Claim Adj. Project & Queries,Durham,4
Blue-Cross-Blue-Shield-of-Massachusetts,Network Manager Provider Network and Contracting,Knoxville,3
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Service Representative,Raleigh,4
Blue-Cross-Blue-Shield-of-Massachusetts,Membership Professional,Durham,3
Blue-Cross-Blue-Shield-of-Massachusetts,Mail room emplyoee/ Insurance organizer,Chicago,3
Blue-Cross-Blue-Shield-of-Massachusetts,Kelly Services Temp,Columbia,3
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Examiner/processor,Abilene,4
Blue-Cross-Blue-Shield-of-Massachusetts,Sr Automation tester,SF,5
Blue-Cross-Blue-Shield-of-Massachusetts,Health Promotion Coordinator,North Carolina,4
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Advocate/Benefit Value Advisor,Marshall,4
Blue-Cross-Blue-Shield-of-Massachusetts,Information Technology Specialist,Waukegan,1
Blue-Cross-Blue-Shield-of-Massachusetts,Financial Transactions Specialist,Chattanooga,4
Blue-Cross-Blue-Shield-of-Massachusetts,Claims Customer Service Representative,Columbia,4
Blue-Cross-Blue-Shield-of-Massachusetts,medical policy specialist,Baton Rouge,4
Blue-Cross-Blue-Shield-of-Massachusetts,Account Executive,Chicago,4
Blue-Cross-Blue-Shield-of-Massachusetts,Associate Workforce Analyst,Providence,5
Blue-Cross-Blue-Shield-of-Massachusetts,Customer Associate (CA),Chicago,3
Blue-Cross-Blue-Shield-of-Massachusetts,Provider Serivces,Hingham,5
Blue-Cross-Blue-Shield-of-Massachusetts,Consumer Advisor,Tennessee,3
Blue-Cross-Blue-Shield-of-Massachusetts,Project Manager,Macomb,5
