Company,Title,Location,Rating
Brafton,Associate Business Development Executive,Boston,4
Brafton,Associate Lead Generation Executive,Boston,5
Brafton,Client Support,Chicago,5
Brafton,-,Chicago,3
Brafton,Video Blog Producer/Writer,Boston,4
Brafton,Graphic Designer,Chicago,4
Brafton,Accounts Payable/Accounts Receivable Specialist,Boston,4
Brafton,Senior Content Marketing Strategist,Boston,2
Brafton,Writer,Boston,1
Brafton,Editorial,Boston,2
Brafton,Lead Content Writer,New York,4
Brafton,Associate Business Development Executive,Boston,4
Brafton,Associate Lead Generation Executive,Boston,5
Brafton,Client Support,Chicago,5
Brafton,-,Chicago,3
Brafton,Video Blog Producer/Writer,Boston,4
Brafton,Graphic Designer,Chicago,4
Brafton,Accounts Payable/Accounts Receivable Specialist,Boston,4
Brafton,Senior Content Marketing Strategist,Boston,2
Brafton,Writer,Boston,1
Brafton,Editorial,Boston,2
Brafton,Lead Content Writer,New York,4
