Company,Title,Location,Rating
CCMSI,Senior Claim Consultant,Wakefield,4
CCMSI,Claims Representative,St. Louis,4
CCMSI,Claims Examiner,Chicago,4
CCMSI,Claims Consultant,Overland Park,1
CCMSI,WC Med Adjuster (Temp),Maitland,5
CCMSI,Claims,Overland Park KS,1
CCMSI,Prospective Employee,Columbus,1
CCMSI,Medical only Adjuster,Dallas,5
CCMSI,Claims Rep,new york,4
CCMSI,Claim Assistant,Danville,4
CCMSI,Medical-Only Adjuster / Lost-Time Adjuster,Okemos,3
CCMSI,Claims Adjuster,Neptune City,3
CCMSI,Claim Rep,Linwood,1
CCMSI,Claims Representative III,St. Louis,3
CCMSI,Claims Adjuster/Sr. Subrogation Specialist,Neptune City,2
CCMSI,Claim Supervisor,Okemos,4
CCMSI,Third Party Administrator,Irvine,3
CCMSI,Receptionist,Reno,3
CCMSI,CLAIMS CLERK,Neptune City,5
CCMSI,Work Comp Specialist,Danville,3
CCMSI,SENIOR CLAIMS EXAMINER,Concord,4
CCMSI,Senior Claim Consultant,Wakefield,4
CCMSI,Claims Consultant,Scottsdale,3
CCMSI,Workers Compensation Underwriter II,Metairie,5
