Company,Title,Location,Rating
Concord-Country-Club,Banquet Prep Cook,West Chester,4
Concord-Country-Club,Bartender/Server,West Chester,5
Concord-Country-Club,Server,West Chester,3
Concord-Country-Club,Groundskeeper,Concord,5
Concord-Country-Club,Banquet Server/Waitress,West Chester,3
Concord-Country-Club,Line cook/Banquet Prep/Broiler/Salad/Roundsman,Concord,1
Concord-Country-Club,Banquet Prep Cook,West Chester,4
Concord-Country-Club,Bartender/Server,West Chester,5
Concord-Country-Club,Server,West Chester,3
Concord-Country-Club,Groundskeeper,Concord,5
Concord-Country-Club,Banquet Server/Waitress,West Chester,3
Concord-Country-Club,Line cook/Banquet Prep/Broiler/Salad/Roundsman,Concord,1
