Company,Title,Location,Rating
FactSet-Research-Systems,Investment Management Consultant,Boston,4
FactSet-Research-Systems,Senior Software Engineer,Norwalk,4
FactSet-Research-Systems,Consultant,New York,3
FactSet-Research-Systems,Senior Product Manager,Norwalk,2
FactSet-Research-Systems,Product Analyst,New York,4
FactSet-Research-Systems,Software Engineer II - Client Portfolio Data,Austin,3
FactSet-Research-Systems,Systems Engineer - Networking,Norwalk,1
FactSet-Research-Systems,Senior Consultant,Norwalk,5
FactSet-Research-Systems,Consultant,Chicago,2
FactSet-Research-Systems,Associate Product Manager,New York,4
FactSet-Research-Systems,Project Engineer,Norwalk,4
FactSet-Research-Systems,Consultant,San Mateo,5
FactSet-Research-Systems,SQL/Oracle Admin,Norwalk,5
FactSet-Research-Systems,Research Analyst,Youngstown,4
FactSet-Research-Systems,Investment Management Consultant,Greater New York Area,2
FactSet-Research-Systems,Software engineer,Paris,2
FactSet-Research-Systems,Strategic Partnerships Economic Administrator,Norwalk,3
FactSet-Research-Systems,Training Program Manager,Norwalk CT,2
FactSet-Research-Systems,Senior Database Engineering Manager,Manhattan,5
FactSet-Research-Systems,Research Analyst,Youngstown,2
FactSet-Research-Systems,Knowledge Management Specialist,Norwalk,5
FactSet-Research-Systems,Investment Management Consultant,Boston,4
FactSet-Research-Systems,Knowledge Management Specialist,Norwalk,5
FactSet-Research-Systems,Product Dev,San Mateo,4
FactSet-Research-Systems,QA Engineer,Norwalk,4
FactSet-Research-Systems,Senior Consultant,Chicago,5
FactSet-Research-Systems,Research Analyst,Youngstown,4
FactSet-Research-Systems,SQL/Oracle Admin,Norwalk,5
FactSet-Research-Systems,Training Program Manager,Norwalk CT,2
FactSet-Research-Systems,Senior Consultant,Stamford,5
