Company,Title,Location,Rating
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Manager,Clermont,4
Follett Corporation,Sales Associate,Atlanta,4
Follett Corporation,Warehouse Work,River Grove,5
Follett Corporation,Team Lead General Merchandise,Norfolk,4
Follett Corporation,Store Manager,Blacksburg,4
Follett Corporation,Course Materials Manager,San Antonio,2
Follett Corporation,Customer Service Associate,McHenry,2
Follett Corporation,Team Lead,Jersey City,1
Follett Corporation,Sales Associate,Portsmouth,2
Follett Corporation,Bookstore Team Member,Fort Myers,4
Follett Corporation,"Cashier, stocking, inventory, training",Kalamazoo,4
Follett Corporation,Sales Associate and Cashier,Eureka,5
Follett Corporation,Course Materials Manager II,Salem,3
Follett Corporation,Store Manager,Waynesburg,3
Follett Corporation,Sales Associate,Dobbs Ferry,3
Follett Corporation,Human Resources,Westchester,4
Follett Corporation,Assistant Store Manager,Texas,2
Follett Corporation,Sales Associate,Indianapolis,4
Follett Corporation,senior software engineer,Westchester,5
Follett Corporation,Store Manager,Greenfield,3
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Hayward - General Merchandise Associate,Hayward,5
Follett Corporation,Store Manager,Dallas,3
Follett Corporation,Picker and processor of different school books,Woodridge,5
Follett Corporation,Product Support Analyst,Westmont,3
Follett Corporation,Cacc bookstore,Alexander City,4
Follett Corporation,Customer Service Representative,Greeley,4
Follett Corporation,Course Materials Manager,Knoxville,3
Follett Corporation,Regional Training Store Manager,Jacksonville,3
Follett Corporation,Receiving & Shipping,Takoma Park,4
Follett Corporation,Sr. Java/ J2EE Developer,Chicago,4
Follett Corporation,Cashier,Marysville,3
Follett Corporation,Assistant Store Manager,Carlsbad,4
Follett Corporation,Bookstore/Clerk,Dobbs Ferry,5
Follett Corporation,Store Manager II,Cypress,5
Follett Corporation,Store Manager - Loyola Univ New Orleans Bkstr,New Orleans,3
Follett Corporation,Lead Graphic Designer,San Francisco,5
Follett Corporation,Manufactured Parts Planner,Easton,3
Follett Corporation,Store Manager,Blacksburg,4
Follett Corporation,Cashier,Hurst,3
Follett Corporation,Audit,Woodridge,2
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Receiving & Shipping,Takoma Park,4
Follett Corporation,Assistant Store Manager,Springfield,4
Follett Corporation,Course Materials Associate,Washington,3
Follett Corporation,Store Manager,Dallas,3
Follett Corporation,Buyback Representative,Orlando,4
Follett Corporation,Course Materials Manager,Los Angeles,3
Follett Corporation,Team Member I,Salem,4
Follett Corporation,Store Clerk,North Little Rock,3
Follett Corporation,Cacc bookstore,Alexander City,4
Follett Corporation,Hayward - General Merchandise Associate,Hayward,5
Follett Corporation,Sales Associate,Phoenix,5
Follett Corporation,Stocker,Kinston,4
Follett Corporation,Part-time employee,West Virginia,4
Follett Corporation,Team Lead General Merchandise,Norfolk,4
Follett Corporation,Customer Service/Inventory,West Windsor,4
Follett Corporation,Warehouse Work,River Grove,5
Follett Corporation,Course Materials Team Lead,Lake Worth,3
Follett Corporation,Temporary Associate,Marysville,4
Follett Corporation,Sales Associate (Temp),Pensacola,5
Follett Corporation,Cashier,Hurst,3
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Course Materials Manager,Knoxville,3
Follett Corporation,Customer Service Representative,Greeley,4
Follett Corporation,Cashier,Marysville,3
Follett Corporation,Receiving & Shipping,Takoma Park,4
Follett Corporation,Customer Service Representative,Fort Wayne,3
Follett Corporation,Course Materials Team Lead,Janesville,5
Follett Corporation,Billing Clerk/Customer Service,Aurora,5
Follett Corporation,Team Member I,Salem,4
Follett Corporation,Bookstore/Clerk,Dobbs Ferry,5
Follett Corporation,Assistant Store Manager,Carlsbad,4
Follett Corporation,RVCC Golden Lion's Bookstore Cashier,Branchburg,5
Follett Corporation,Store Manager II,Cypress,5
Follett Corporation,Team Lead,Tempe,4
Follett Corporation,Manufactured Parts Planner,Easton,3
Follett Corporation,Supervisor,Buffalo,3
Follett Corporation,Course Materials Associate,Washington,3
Follett Corporation,Cashier,Hurst,3
Follett Corporation,Store Clerk,North Little Rock,3
Follett Corporation,Audit,Woodridge,2
Follett Corporation,Temporary Associate,Marysville,4
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Customer Service Representative,River Grove,4
Follett Corporation,Store Manager II,Cypress,5
Follett Corporation,Picker and processor of different school books,Woodridge,5
Follett Corporation,Lead Graphic Designer,San Francisco,5
Follett Corporation,Course Materials Team Lead,Lake Worth,3
Follett Corporation,Store Manager,Waynesburg,3
Follett Corporation,Sales Associate,Belle Glade,5
Follett Corporation,Sales Associate,Atlanta,4
Follett Corporation,Audit,Woodridge,2
Follett Corporation,store manger 1,Loch Sheldrake,3
Follett Corporation,Sr. Sales Support Specialist,Woodridge,4
Follett Corporation,Campus bookstore Sale Associate,Springfield,5
Follett Corporation,Receiving & Shipping,Takoma Park,4
Follett Corporation,Human Resources,Westchester,4
Follett Corporation,Customer service Associate,Grenada,5
