Company,Title,Location,Rating
GE-Corporate,tech,Watertown,5
GE-Corporate,Caliper Technical Specialist/Team Leader,Houston,3
GE-Corporate,Primary Casing Transformer Painter,Somersworth,3
GE-Corporate,IT Program Manager,Van Buren,5
GE-Corporate,Heat Transfer Design Engineer Intern,Lynn,4
GE-Corporate,LBA Accountant,Cincinnati,4
GE-Corporate,Field Engineer,Dallas,5
GE-Corporate,Inventory Control,Schenectady,4
GE-Corporate,Data and Metrics Analyst,Schenectady,4
GE-Corporate,Mechanic,Mattoon,5
GE-Corporate,Manufacturing Production Worker,Louisville,3
GE-Corporate,Exalytics Infrastructure Consultant,Stamford,5
GE-Corporate,Temp,Kansas City,5
GE-Corporate,Welder,Erie,4
GE-Corporate,Factory worker,Morristown,4
GE-Corporate,Factory Worker,Louisville,4
GE-Corporate,Warehouse,Ravenna,3
GE-Corporate,Machine Operator,Lynn,4
GE-Corporate,Specialist,Louisville,4
GE-Corporate,"Exhaust mechanic/rebuild parts,machine operator",Bucyrus,3
GE-Corporate,Oracle EBS Techno Functional Lead,Houston,4
GE-Corporate,tech,Watertown,5
GE-Corporate,Kpo/Brazier,Louisville,4
GE-Corporate,"Mail Handler, Folder, Collator",Louisville,4
GE-Corporate,Material Handler,Pittsburgh,1
GE-Corporate,Welder/Test,Erie,2
GE-Corporate,"Experienced Leadership Prog. Associate GE, USA",Pennsylvania,5
GE-Corporate,Technician,Schenectady,4
GE-Corporate,Assembler,Erie,5
GE-Corporate,Lead Specialist - Employee Data management,Fort Myers,5
GE-Corporate,Electrical Engineering Assembler,Pittsburgh,4
GE-Corporate,ITLP,Fairfield,3
GE-Corporate,Machine Operator,Fort Edward,4
GE-Corporate,Wind Turbine Technician,Big Spring,4
GE-Corporate,engineering assistant,Elk Grove Village,5
GE-Corporate,Technician,Schenectady,3
GE-Corporate,Lead Advanced Manufacturing Engineer,Greenville,4
GE-Corporate,Switchgear/Generator Repair Technician,Buffalo,5
GE-Corporate,PAINTER/CARPENTER,Erie,5
GE-Corporate,Operations Manager,Grove City,3
GE-Corporate,Senior QA Engineer,San Ramon,5
GE-Corporate,Mechanical Engineer,Mexico,5
GE-Corporate,tech,Watertown,5
GE-Corporate,Administrative Assistant,Chicago,5
GE-Corporate,Order fulfillment Specialist II,Madison,5
GE-Corporate,Regional Sales Manager,Miami,4
GE-Corporate,SOLARIS SYSADMIN,Cincinnati,5
GE-Corporate,Customer Service Representative,Louisville,4
GE-Corporate,Assembly Technician/Quality Technician,Louisville,3
GE-Corporate,Customer Service Consultant,Charlotte,3
GE-Corporate,Forklift Operator,Louisville,2
GE-Corporate,ServiceNow Developer,Houston,5
GE-Corporate,Warehouse Worker,Louisville,2
GE-Corporate,Mechanical Lead,Schertz,3
GE-Corporate,Commercial Operations Manager,Plano,4
GE-Corporate,Contract Administrator,Norcross,4
GE-Corporate,Cognos Tech Lead/Spotfire Consultant,Stamford,4
GE-Corporate,Software /Exciter Controls intern,Salem,4
GE-Corporate,Engineer,Minden,3
GE-Corporate,Manufacturing Shift Supervisor,Erie,5
GE-Corporate,Engineering Technician,Kentwood,5
GE-Corporate,"Material Handler, Assembly line operator",Louisville,3
GE-Corporate,Electrical Engineering Assembler,Pittsburgh,4
GE-Corporate,tech,Watertown,5
GE-Corporate,"Grinding, hand filing, and bending",Lynn,5
GE-Corporate,Supervisor,Huntsville,5
GE-Corporate,Senior QA Engineer,San Ramon,5
GE-Corporate,Lead Design Engineer,Louisville,4
GE-Corporate,Material Supply Associate,Mebane,3
GE-Corporate,Assembly,Erie,1
GE-Corporate,Principal Engineer,Duarte,5
GE-Corporate,La - Nuclear & Traceable Painter,Alexandria,4
