Company,Title,Location,Rating
Greatbatch,MEDICAL ASSEMBLY MICROSCOPE,Plymouth,4
Greatbatch,Associate,Alden,2
Greatbatch,Worker,Alden,3
Greatbatch,Assembler,Beaverton,5
Greatbatch,Medical Assembler,Plymouth,3
Greatbatch,Production Associate,Alden,4
Greatbatch,"Sales, Marketing, Training, Finance",TX,2
Greatbatch,Journeyman,Clarence,2
Greatbatch,Material Handler,Beaverton Or,3
Greatbatch,sales,Clarence,5
Greatbatch,"Sr. Manager, Corporate Strategic Procurement",Clarence,3
Greatbatch,Medical component Inspector B,Columbia,5
Greatbatch,MEDICAL ASSEMBLY MICROSCOPE,Plymouth,4
Greatbatch,Associate,Alden,2
Greatbatch,Worker,Alden,3
Greatbatch,Journeyman,Clarence,2
Greatbatch,Material Handler,Beaverton Or,3
Greatbatch,Assembler,Beaverton,5
Greatbatch,sales,Clarence,5
Greatbatch,"Sr. Manager, Corporate Strategic Procurement",Clarence,3
Greatbatch,Medical Assembler,Plymouth,3
Greatbatch,Medical component Inspector B,Columbia,5
Greatbatch,"Sales, Marketing, Training, Finance",TX,2
Greatbatch,Production Associate,Alden,4
