Company,Title,Location,Rating
Harpoon-Brewery,Operations,Boston,4
Harpoon-Brewery,Marketing Intern,Boston,5
Harpoon-Brewery,Beer Mate,Boston,5
Harpoon-Brewery,Brewery Representative,Boston,1
Harpoon-Brewery,Beer Captain,Boston,2
Harpoon-Brewery,CDL Class B Driver,Boston,1
Harpoon-Brewery,Waitress,Windsor,5
Harpoon-Brewery,Production Supervisor/Maintenance Technician,Boston,4
Harpoon-Brewery,Sales Associate/Cashier,Windsor,4
Harpoon-Brewery,Production grunt,Boston,2
Harpoon-Brewery,Route Driver CDL B truck,Boston,3
Harpoon-Brewery,Operations,Boston,4
Harpoon-Brewery,Beer Mate,Boston,5
Harpoon-Brewery,Brewery Representative,Boston,1
Harpoon-Brewery,Marketing Intern,Boston,5
Harpoon-Brewery,Beer Captain,Boston,2
Harpoon-Brewery,Waitress,Windsor,5
Harpoon-Brewery,CDL Class B Driver,Boston,1
Harpoon-Brewery,Production grunt,Boston,2
Harpoon-Brewery,Route Driver CDL B truck,Boston,3
Harpoon-Brewery,Sales Associate/Cashier,Windsor,4
Harpoon-Brewery,Production Supervisor/Maintenance Technician,Boston,4
