Company,Title,Location,Rating
IBM-Kenexa,Senior Inventory Accounting Specialist,Newton,5
IBM-Kenexa,Senior Sharepoint Application Developer,Dallas,4
IBM-Kenexa,Technical Support Specialist,Boulder,1
IBM-Kenexa,Compliance Report Developer,Beaverton,4
IBM-Kenexa,Program Director,Austin,3
IBM-Kenexa,Telecommunications Analyst,Tampa,3
IBM-Kenexa,Proposal Document Manager,Home Based,5
IBM-Kenexa,CSI Lead/Team Member - Dynamic Automation,Boynton Beach,4
IBM-Kenexa,Senior Supply Chain Management Consultant,Herndon,4
IBM-Kenexa,Advisory Software Engineer,Research Triangle Park,1
IBM-Kenexa,Backup Administrator,New York,4
IBM-Kenexa,Business Operations Architect & Billing SME,Poughkeepsie,3
IBM-Kenexa,Project Manager,Houston,3
IBM-Kenexa,Solution Architect,Bentonville,3
IBM-Kenexa,Service Delivery Mgr - IT Security Audit & GRC,Rockford,3
IBM-Kenexa,Network Architect,Columbus,1
IBM-Kenexa,Production Support Analyst,Poughkeepsie  New York,3
IBM-Kenexa,Service Delivery Manager,Houston,2
IBM-Kenexa,Project Management Analyst,Tallahassee,4
IBM-Kenexa,Team Leader/Manager,Salt Lake City,2
IBM-Kenexa,Senior Accounts Receivable Specialist/ Team Lead,Dublin,5
IBM-Kenexa,Senior Inventory Accounting Specialist,Newton,5
IBM-Kenexa,Escalation Engineer,Boulder,5
IBM-Kenexa,Technical Support Specialist,Boulder,1
IBM-Kenexa,Project Management Analyst,Tallahassee,4
IBM-Kenexa,Network Architect,Columbus,1
IBM-Kenexa,Recovery Manager,Armonk,3
IBM-Kenexa,IT Specialist/Application Programmer,Newark,5
IBM-Kenexa,CSI Lead/Team Member - Dynamic Automation,Boynton Beach,4
IBM-Kenexa,Senior System Engineer,Dallas,5
IBM-Kenexa,Service Delivery Manager,Houston,2
IBM-Kenexa,Business Development & Client Sales Executive,New York,5
IBM-Kenexa,Management Consultant,San Francisco,5
IBM-Kenexa,Systems Analyst/Technician Level Four,Plano,4
IBM-Kenexa,Principal Consultant,Fair Oaks,3
IBM-Kenexa,Implementation Consultant,Los Angeles,5
IBM-Kenexa,Application Developer,East Lansing,4
IBM-Kenexa,Advisor Project Manager,Erie,5
IBM-Kenexa,Executive IT Architect,Boulder,1
IBM-Kenexa,Project Manager,Houston,3
IBM-Kenexa,Senior System Software Support Engineer,Denver,4
IBM-Kenexa,Senior Technical Sales Consultant,Santa Clara,5
IBM-Kenexa,Senior Inventory Accounting Specialist,Newton,5
IBM-Kenexa,Application Developer,East Lansing,4
IBM-Kenexa,Territory Manager II,Tempe,5
IBM-Kenexa,Oracle Application Development Specialist,Baton Rouge,3
IBM-Kenexa,Production Operator,Essex Junction,4
IBM-Kenexa,Advisory IT Specialist,Phoenix,4
IBM-Kenexa,Delinquency Management Team Lead,Beaverton,4
IBM-Kenexa,Architect,San Diego,1
IBM-Kenexa,Sr. Technical Solutions Manager - Cloud Services,Rochester,3
IBM-Kenexa,PMO LEADER AND PORTFOLIO MANAGER,Chicago,3
