Company,Title,Location,Rating
Ingersoll-Rand,Assembly Line Worker/end line inspector,Bridgeton,4
Ingersoll-Rand,Global Quality Director,Davidson,2
Ingersoll-Rand,Payroll Specialist,Davidson,5
Ingersoll-Rand,Contract Coordinator,Davidson,3
Ingersoll-Rand,Precison assembler,Mocksville NC,3
Ingersoll-Rand,Forklift Operator/Receiving,Olathe,3
Ingersoll-Rand,Senior Applications Engineer (Engineer III),Buffalo,2
Ingersoll-Rand,Production Leader,Columbia,2
Ingersoll-Rand,Material Handler,Security,4
Ingersoll-Rand,Compressor Assembler,Mocksville,3
Ingersoll-Rand,Financial Analyst,Charlotte,5
Ingersoll-Rand,Intern,Lexington,4
Ingersoll-Rand,Mechanical Engineer,Buffalo,3
Ingersoll-Rand,ENGINEERING TECHNICIAN,Southern Pines,3
Ingersoll-Rand,Receptionist/Office Coordinator,Davidson,4
Ingersoll-Rand,"Business Development Director, Healthcare",Tempe,4
Ingersoll-Rand,Business Intelligence Intern,La Crosse,3
Ingersoll-Rand,Heavy Equipment Assembler,Kent,5
Ingersoll-Rand,EXECUTIVE ADMINISTRATIVE ASSISTANT,Union City,5
Ingersoll-Rand,Second shift coil fabricator,McGregor,5
Ingersoll-Rand,"Global Leader, Quality Management System",Charlotte,4
Ingersoll-Rand,Assembly Line Worker/end line inspector,Bridgeton,4
Ingersoll-Rand,Mechanical Engineer,Buffalo,3
Ingersoll-Rand,Senior Global Commodity Manager Casting,Davidson,4
Ingersoll-Rand,Precison assembler,Mocksville NC,3
Ingersoll-Rand,Principal Engineer,Davidson,4
Ingersoll-Rand,Business Intelligence Intern,La Crosse,3
Ingersoll-Rand,Engineer,La Crosse,4
Ingersoll-Rand,Heavy Equipment Assembler,Kent,5
Ingersoll-Rand,Financial Analyst,Charlotte,5
Ingersoll-Rand,Buyer II,Buffalo,4
Ingersoll-Rand,Supplier Diversity Analyst,Davidson,5
Ingersoll-Rand,Production Lead/ Process Engineer,Leesport,3
Ingersoll-Rand,Software Test Engineer,Saint Paul,5
Ingersoll-Rand,Machinery Operator,Mocksville,4
Ingersoll-Rand,Intern,Lexington,4
Ingersoll-Rand,Operational Excellence Change Agent,Saint Charles,4
Ingersoll-Rand,Quality Technician,Mocksville,4
Ingersoll-Rand,Warehouse Team Member,Charlotte,4
Ingersoll-Rand,Production Team Leader,Campbellsville,3
Ingersoll-Rand,Plant air Technician,Cheektowaga,4
Ingersoll-Rand,National Parts Manager,Knoxville,4
Ingersoll-Rand,Assembly Line Worker/end line inspector,Bridgeton,4
Ingersoll-Rand,ENGINEERING TECHNICIAN,Southern Pines,3
Ingersoll-Rand,Inside Sales Coordinator,Edison,5
Ingersoll-Rand,Buyer II,Buffalo,4
Ingersoll-Rand,Climate Control Facilities Technician,La Vista,5
Ingersoll-Rand,EXECUTIVE ADMINISTRATIVE ASSISTANT,Union City,5
Ingersoll-Rand,Contract Coordinator,Davidson,3
Ingersoll-Rand,Master Scheduler II,Southern Pines,3
Ingersoll-Rand,Procurement Manager,Florida,3
Ingersoll-Rand,Quality Auditor,Charlotte,4
Ingersoll-Rand,Compressor Assembler,Mocksville,3
Ingersoll-Rand,Business Intelligence Intern,La Crosse,3
Ingersoll-Rand,Senior Global Commodity Manager Casting,Davidson,4
Ingersoll-Rand,Global Quality Director,Davidson,2
Ingersoll-Rand,Global D&I Program Coordinator,Davidson,3
Ingersoll-Rand,N/A,Arecibo,2
Ingersoll-Rand,Material Handler,Security,4
Ingersoll-Rand,Precison assembler,Mocksville NC,3
Ingersoll-Rand,Elected shop steward,Plainview,1
Ingersoll-Rand,Financial Analyst,Charlotte,5
Ingersoll-Rand,Planner / Buyer,Kent,2
Ingersoll-Rand,Assembly Line Worker/end line inspector,Bridgeton,4
Ingersoll-Rand,Mechanical Engineer,Buffalo,3
Ingersoll-Rand,Payroll Business Analyst,Davidson,4
Ingersoll-Rand,Research and Development / Project Specialist,Norcross,4
Ingersoll-Rand,Intern,Lexington,4
Ingersoll-Rand,Inside Part Sales / Warehouse Coordinator,Lynchburg,4
Ingersoll-Rand,Warehouse worker,Charlotte NC,5
Ingersoll-Rand,Heavy Equipment Assembler,Kent,5
Ingersoll-Rand,Principal Engineer,Davidson,4
Ingersoll-Rand,Chief Engineer,Kent,2
Ingersoll-Rand,Asset Management Coordinator,Davidson,5
Ingersoll-Rand,Purchasing Procurement Administrator,Hester Dr. White House,5
Ingersoll-Rand,Software Test Engineer,Saint Paul,5
Ingersoll-Rand,Corporate Communications Coordinator,Carmel,5
Ingersoll-Rand,Benefits,Indiana,3
Ingersoll-Rand,Specialist,Davidson,3
Ingersoll-Rand,Machinery Operator,Mocksville,4
Ingersoll-Rand,Production Lead/ Process Engineer,Leesport,3
Ingersoll-Rand,National Sales Manager,Minneapolis-Saint Paul,4
Ingersoll-Rand,Material Planner/Buyer,Memphis,2
Ingersoll-Rand,Key System Consultant,Seattle WA,4
Ingersoll-Rand,Assembly Line Worker/end line inspector,Bridgeton,4
Ingersoll-Rand,Mechanical Engineer,Buffalo,3
Ingersoll-Rand,Payroll Business Analyst,Davidson,4
Ingersoll-Rand,Research and Development / Project Specialist,Norcross,4
Ingersoll-Rand,Intern,Lexington,4
Ingersoll-Rand,Inside Part Sales / Warehouse Coordinator,Lynchburg,4
Ingersoll-Rand,Warehouse worker,Charlotte NC,5
Ingersoll-Rand,Heavy Equipment Assembler,Kent,5
Ingersoll-Rand,Principal Engineer,Davidson,4
Ingersoll-Rand,Chief Engineer,Kent,2
Ingersoll-Rand,Asset Management Coordinator,Davidson,5
Ingersoll-Rand,Purchasing Procurement Administrator,Hester Dr. White House,5
Ingersoll-Rand,Software Test Engineer,Saint Paul,5
Ingersoll-Rand,Corporate Communications Coordinator,Carmel,5
Ingersoll-Rand,Benefits,Indiana,3
Ingersoll-Rand,Specialist,Davidson,3
Ingersoll-Rand,Machinery Operator,Mocksville,4
Ingersoll-Rand,Production Lead/ Process Engineer,Leesport,3
Ingersoll-Rand,National Sales Manager,Minneapolis-Saint Paul,4
Ingersoll-Rand,Material Planner/Buyer,Memphis,2
Ingersoll-Rand,Key System Consultant,Seattle WA,4
Ingersoll-Rand,Assembly Line Worker/end line inspector,Bridgeton,4
Ingersoll-Rand,Utility Machinist,Mayfield,5
Ingersoll-Rand,Production Team Leader,Campbellsville,3
