Company,Title,Location,Rating
Juice-Press,Customer Service Representative,Manhattan,3
Juice-Press,Customer Service/cashier,415 Greenwich st,2
Juice-Press,BOH/Team Member,New York,5
Juice-Press,Training Manager,New York,2
Juice-Press,Shift Leader/Assistant Manager,New York,2
Juice-Press,Shift supervisor,630 9th ave,2
Juice-Press,Front of House Staff,New York,2
Juice-Press,Salad Bar Manager,New York,1
Juice-Press,Project/Operations/District Manager,New York,4
Juice-Press,Lead Barista,New York,3
Juice-Press,Team Leader,Manhattan,3
Juice-Press,Clerk,Long Island City,3
Juice-Press,Manager,Lindon,5
Juice-Press,Assistant Manager,New York,5
Juice-Press,Shift Supervisor,New York,2
Juice-Press,Assistant Route Manager,New York,1
Juice-Press,Sales Associate/Customer Service,New York,4
Juice-Press,Cashier/Smoothie Prep,New York,5
Juice-Press,Customer Service Representative,Manhattan,3
Juice-Press,Customer Service/cashier,415 Greenwich st,2
Juice-Press,BOH/Team Member,New York,5
Juice-Press,Training Manager,New York,2
Juice-Press,Shift Leader/Assistant Manager,New York,2
Juice-Press,Shift supervisor,630 9th ave,2
Juice-Press,Front of House Staff,New York,2
Juice-Press,Salad Bar Manager,New York,1
Juice-Press,Project/Operations/District Manager,New York,4
Juice-Press,Lead Barista,New York,3
Juice-Press,Team Leader,Manhattan,3
Juice-Press,Clerk,Long Island City,3
Juice-Press,Manager,Lindon,5
Juice-Press,Assistant Manager,New York,5
Juice-Press,Shift Supervisor,New York,2
Juice-Press,Assistant Route Manager,New York,1
Juice-Press,Sales Associate/Customer Service,New York,4
Juice-Press,Cashier/Smoothie Prep,New York,5
