Company,Title,Location,Rating
Keurig-Green-Mountain,Testing Technician II,Burlington,3
Keurig-Green-Mountain,•	Providian Staffing,Fontana,4
Keurig-Green-Mountain,Material Handler/Forklift Operator,Knoxville,1
Keurig-Green-Mountain,Quality Control Test Technician,Burlington,4
Keurig-Green-Mountain,"Machine operater , CQC Clerk",Knoxville,5
Keurig-Green-Mountain,Former Employee,Castroville,3
Keurig-Green-Mountain,Shift Production Coordinator,Windsor,3
Keurig-Green-Mountain,Quality Assurance Technician,Lithia Springs,5
Keurig-Green-Mountain,Maintenance Technician II,Windsor,3
Keurig-Green-Mountain,Machine Operator,Essex Jct,3
Keurig-Green-Mountain,Sales/Brand Ambassador,Burlington,5
Keurig-Green-Mountain,Maintenance Inventory Clerk,Essex,4
Keurig-Green-Mountain,DC Associate III,Windsor,5
Keurig-Green-Mountain,Machine Operator,Windsor,4
Keurig-Green-Mountain,Material Handler,Lithia Springs,5
Keurig-Green-Mountain,Machine Operator,Williston,4
Keurig-Green-Mountain,SENIOR TESTING TECHNICIAN,Burlington,4
Keurig-Green-Mountain,Machine Operator,Sumner,1
Keurig-Green-Mountain,Machine Operator Trainer,Windsor,5
Keurig-Green-Mountain,Machine Design Engineer III,Burlington,4
Keurig-Green-Mountain,Inventory Analyst,Douglasville,5
Keurig-Green-Mountain,Testing Technician II,Burlington,3
Keurig-Green-Mountain,Maintenance Technician III,Atlanta,4
Keurig-Green-Mountain,Machine Operator,Windsor,4
Keurig-Green-Mountain,Inventory Analyst,Douglasville,5
Keurig-Green-Mountain,Machine Operator Trainer,Windsor,5
Keurig-Green-Mountain,Material Handler,Knoxville,5
Keurig-Green-Mountain,Accountant,Burlington,3
Keurig-Green-Mountain,Machine Operator,Williston,4
Keurig-Green-Mountain,Senior Process/Project Engineer,Burlington,3
Keurig-Green-Mountain,R&D Electrical Technician,Burlington,5
Keurig-Green-Mountain,Roasting Shift Coordinator,Sumner,5
Keurig-Green-Mountain,Senior Manager- IT,South Burlington,5
Keurig-Green-Mountain,Coffee Processing Machine Operator Trainer,Essex,3
Keurig-Green-Mountain,Financial Analyst I,Waterbury,5
Keurig-Green-Mountain,Maintenance Inventory Clerk and Procurement,windsor,3
Keurig-Green-Mountain,Maintenance Technician III,Waterbury,2
Keurig-Green-Mountain,Training Coordinator,Windsor,3
Keurig-Green-Mountain,Senior Maintenance Technician Level III,Waterbury,4
Keurig-Green-Mountain,Consumer Support Services,Burlington,4
Keurig-Green-Mountain,Program Manager,Vermont,3
Keurig-Green-Mountain,"Environmental, Health and Safety Manager",Waterbury,4
Keurig-Green-Mountain,Testing Technician II,Burlington,3
Keurig-Green-Mountain,Maintenance Technician III,Atlanta,4
Keurig-Green-Mountain,Machine Operator,Windsor,4
Keurig-Green-Mountain,Inventory Analyst,Douglasville,5
Keurig-Green-Mountain,Machine Operator Trainer,Windsor,5
Keurig-Green-Mountain,Material Handler,Knoxville,5
Keurig-Green-Mountain,Accountant,Burlington,3
Keurig-Green-Mountain,Machine Operator,Williston,4
Keurig-Green-Mountain,Senior Process/Project Engineer,Burlington,3
Keurig-Green-Mountain,R&D Electrical Technician,Burlington,5
Keurig-Green-Mountain,Roasting Shift Coordinator,Sumner,5
Keurig-Green-Mountain,Senior Manager- IT,South Burlington,5
Keurig-Green-Mountain,Coffee Processing Machine Operator Trainer,Essex,3
Keurig-Green-Mountain,Financial Analyst I,Waterbury,5
Keurig-Green-Mountain,Maintenance Inventory Clerk and Procurement,windsor,3
Keurig-Green-Mountain,Maintenance Technician III,Waterbury,2
Keurig-Green-Mountain,Training Coordinator,Windsor,3
Keurig-Green-Mountain,Senior Maintenance Technician Level III,Waterbury,4
Keurig-Green-Mountain,Consumer Support Services,Burlington,4
Keurig-Green-Mountain,Program Manager,Vermont,3
Keurig-Green-Mountain,"Environmental, Health and Safety Manager",Waterbury,4
Keurig-Green-Mountain,Testing Technician II,Burlington,3
Keurig-Green-Mountain,Field Service Representative / AFH Brewer Service,Burlington,5
Keurig-Green-Mountain,Roasting Coordinator (Lead),Sumner,2
Keurig-Green-Mountain,Machine Operator,Windsor,3
Keurig-Green-Mountain,Certified QC& front  line Machine Operator.,Suffolk,3
Keurig-Green-Mountain,Account Manager,In the Philadelphia area,5
Keurig-Green-Mountain,Machine Operator,Knoxville,2
Keurig-Green-Mountain,Seasonal Machine Operator,Knoxville,5
Keurig-Green-Mountain,Machine Operater/Certified QC Auditor,Windsor,5
Keurig-Green-Mountain,Perform operator,Knoxville,4
Keurig-Green-Mountain,Employment Relevant to Key Account Manager,Mid-Atlantic Region & Upstate NY,4
Keurig-Green-Mountain,Learning Leader,Waterbury,4
Keurig-Green-Mountain,Technical Training Leader,South Burlington,3
Keurig-Green-Mountain,Machine Operator,Windsor,3
Keurig-Green-Mountain,Quality & Technical Advisor- Management engineer,USA,5
Keurig-Green-Mountain,Instandhaltungstechniker,Essex Junction,4
