Company,Title,Location,Rating
Kimpton-Hotels---Restaurants,Guest Services Manager,Cambridge,3
Kimpton-Hotels---Restaurants,Distribution Specialist,Phoenix,5
Kimpton-Hotels---Restaurants,Housekeeping,Cleveland,2
Kimpton-Hotels---Restaurants,Banquet Server,Alexandria,5
Kimpton-Hotels---Restaurants,Area Revenue Manager,Portland,5
Kimpton-Hotels---Restaurants,PROPERTY IT DIRECTOR AND PROJECT MANAGER,Miami,5
Kimpton-Hotels---Restaurants,front desk,Sedona,3
Kimpton-Hotels---Restaurants,Chief Engineer/High Rise Fire Safety Director,San Francisco,4
Kimpton-Hotels---Restaurants,Manager,D.C.,2
Kimpton-Hotels---Restaurants,Host,Washington,3
Kimpton-Hotels---Restaurants,Guest Services Representative,Portland,1
Kimpton-Hotels---Restaurants,Director of Finance,Palm Beach,5
Kimpton-Hotels---Restaurants,Housekeeping,Ohio,1
Kimpton-Hotels---Restaurants,Server,Miami,4
Kimpton-Hotels---Restaurants,Food Runner/Busser,Washington,5
Kimpton-Hotels---Restaurants,supervisor,Miami,1
Kimpton-Hotels---Restaurants,Room Attendant,Pittsburgh,5
Kimpton-Hotels---Restaurants,Assistant Guest Services Manager,Denver,3
Kimpton-Hotels---Restaurants,Human Resources Intern,Miami,1
Kimpton-Hotels---Restaurants,Capitol Hill Night Auditor/Guest Services Agent,Washington,4
Kimpton-Hotels---Restaurants,Social Media Coordinator,Springfield,5
Kimpton-Hotels---Restaurants,Guest Services Manager,Cambridge,3
Kimpton-Hotels---Restaurants,Sales & Marketing,New York,4
Kimpton-Hotels---Restaurants,Sales and Service Manager / Front Desk Supervisor,Chicago,3
Kimpton-Hotels---Restaurants,Reservation Specialist,San Diego,4
Kimpton-Hotels---Restaurants,Manager On Duty & Guest Services Agent,Washington,4
Kimpton-Hotels---Restaurants,Staff Accountant,Washington,3
Kimpton-Hotels---Restaurants,Bellman/Doorman,New York,5
Kimpton-Hotels---Restaurants,Accounting Manager in Training,Boston,4
Kimpton-Hotels---Restaurants,Assistant General Manager,San francisco,5
Kimpton-Hotels---Restaurants,Concierge Services,Baltimore,5
Kimpton-Hotels---Restaurants,Reservations Coordinator,San Francisco,4
Kimpton-Hotels---Restaurants,hospitality service security  and doorman,newyork   manhathan  brooklyn,4
Kimpton-Hotels---Restaurants,Hostess / Cocktail Server,Phoenix,2
Kimpton-Hotels---Restaurants,Administrative,Bethesda,5
Kimpton-Hotels---Restaurants,Social Media Coordinator,Springfield,5
Kimpton-Hotels---Restaurants,Assistant Guest Services Manager,Denver,3
Kimpton-Hotels---Restaurants,FLOOR MANAGER,Washington,5
Kimpton-Hotels---Restaurants,house person/public space,philadlephia pa,5
Kimpton-Hotels---Restaurants,Accountant - Accounts Receivable/Income Audit,San Diego,4
Kimpton-Hotels---Restaurants,supervisor,los angeles,4
Kimpton-Hotels---Restaurants,Intern,Miami,5
Kimpton-Hotels---Restaurants,Guest Services Manager,Cambridge,3
Kimpton-Hotels---Restaurants,Night auditor/ MOD,Salt Lake City,3
Kimpton-Hotels---Restaurants,Room Attendant,Pittsburgh,5
Kimpton-Hotels---Restaurants,Accounting Clerk,San Francisco,4
Kimpton-Hotels---Restaurants,Sales & Marketing,New York,4
Kimpton-Hotels---Restaurants,Social Media Coordinator,Springfield,5
Kimpton-Hotels---Restaurants,house person/public space,philadlephia pa,5
Kimpton-Hotels---Restaurants,Staff Accountant,Washington,3
Kimpton-Hotels---Restaurants,Controller,San Francisco,5
Kimpton-Hotels---Restaurants,Manager On Duty & Guest Services Agent,Washington,4
Kimpton-Hotels---Restaurants,Accounting Manager in Training,Boston,4
Kimpton-Hotels---Restaurants,Reservation Specialist,San Diego,4
Kimpton-Hotels---Restaurants,Assistant General Manager,San francisco,5
Kimpton-Hotels---Restaurants,Housekeeping,Dallas,5
Kimpton-Hotels---Restaurants,Director of Online Marketing,San Francisco,4
