Company,Title,Location,Rating
Macy-s,Sales Associate/Cashier,Cambridge,4
Macy-s,warehouse associate,Martinsburg,3
Macy-s,Sales associate,Chicago,5
Macy-s,CREDIT CUSTOMER SERIVICE SUPERVISOR,13141 34th street north clearwater fl 33762,2
Macy-s,Sales Manager,Cherry Hill,3
Macy-s,Sales Associate,Houston,5
Macy-s,Support Associate,Flushing,3
Macy-s,MACY'S PRICING AND SIGNING,Yonkers,2
Macy-s,Recovery Associate,Portland,1
Macy-s,"Sales Manager, MACYS",Hanover,5
Macy-s,Retail associate,Steubenville,5
Macy-s,Sales Associate,Tukwila,3
Macy-s,Fine Jewelry Sales Associate,Tacoma,1
Macy-s,Customer Service,Victorville,1
Macy-s,Sales Associate,Dearborn,5
Macy-s,Recovery,Columbus,2
Macy-s,Seasonal Sales Associate,Jackson,2
Macy-s,Sales Associate,Miami,3
Macy-s,Sales Specialist,Houston,2
Macy-s,Sales Associate,El Cajon,3
Macy-s,Sales Associate/Customer Service (Seasonal),Brooklyn,3
Macy-s,Sales Associate/Cashier,Cambridge,4
Macy-s,Clinique Beauty Advisor,Montebello,4
Macy-s,Sales Associate,Northgate,4
Macy-s,Sales Manager,Ocala,3
Macy-s,OFR/Customer Service Associate,Downey,1
Macy-s,Asset Protection Manager,Washington State,4
Macy-s,Visual Security Officer,San Antonio,3
Macy-s,Executive Development Program,Chicago,4
Macy-s,Sales Associate,McAllen,5
Macy-s,Group Sales Manager,Houston,3
Macy-s,Retail Associate (Seasonal),Washington DC,4
Macy-s,Field Service Technician II,Pittsburgh,1
Macy-s,Estee Lauder Counter Manager (Sales and Marketing),Brooklyn,4
Macy-s,Holiday Sales Associate,Glendale,1
Macy-s,Stock worker,Manhattan,2
Macy-s,Sales Specialist,West Palm Beach,3
Macy-s,Field Technician for Macy's stores,New York,2
Macy-s,Sales Associate,Brooklyn,1
Macy-s,Merchandise Team Manager,McLean,4
Macy-s,Human Resources Manager - Multi Unit,Dallas,5
Macy-s,Floor Support Team,Paramus,5
Macy-s,Sales Associate/Cashier,Cambridge,4
Macy-s,Shipping and receiving. Associate,Concord,3
Macy-s,Macy's Sales Associate,Chesapeake,5
Macy-s,Lead Retail Sales Associate,Seattle,4
Macy-s,Asset Protection Detective,Boston,4
Macy-s,Sales Associate (Seasonal),Philadelphia,3
Macy-s,Sales associate also a Seasonal manager,Philadelphia,4
