Company,Title,Location,Rating
Massachusetts-Eye-and-Ear-Infirmary,Supervisor of Grant Accounting,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Medical Coder/Patient Services Coordinator,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Communication Coordinator/ Switch board operator,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Former employee,Boston,1
Massachusetts-Eye-and-Ear-Infirmary,Information Security Intern,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Admitting Representative,Boston,1
Massachusetts-Eye-and-Ear-Infirmary,Senior Ophthalmic Technician II (COA),Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Payment Posting Coordinator,Quincy,1
Massachusetts-Eye-and-Ear-Infirmary,STAFF ASSISTANT,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Certified Pharmacy Technician,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Laboratory Manager,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Technical Analyst,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Registration Assistant/Radiology Assistant,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,OR Scheduling Coordinator,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Certified Nursing Assistant,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,OPHTHALMIC ASSISTANT,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Investigator,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Medical Assistant Coordinator,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Communications Coordinator,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,DIRECTOR CLINICAL PROGRAM DEVELOPMENT,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Staff Accountant,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Supervisor of Grant Accounting,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Registration Assistant/Radiology Assistant,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,administrative assistant,243 Charles st boston,4
Massachusetts-Eye-and-Ear-Infirmary,Technical Analyst,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,"Pediatric Unit, Registered Nurse",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Clinical Research Revenue Analyst,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,OPHTHALMIC ASSISTANT,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Administrative Assistant - Internship,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Investigator,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,"Charge entry billing clerk, registration and A/R",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Nurse,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,"Registered Nurse, Otology/Neurotology Clinic",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Office Manager / Medical Staff Assistant,Stoneham,2
Massachusetts-Eye-and-Ear-Infirmary,Information Coordinator,Boston,2
Massachusetts-Eye-and-Ear-Infirmary,PACU Registered Nurse/Nurse Practitioner,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Staff Accountant,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,I.S. Team Lead,boston,4
Massachusetts-Eye-and-Ear-Infirmary,Senior Histology Tech.,Main campus,2
Massachusetts-Eye-and-Ear-Infirmary,Executive Secretary to Chief of Radiology,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Housekeeper,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Senior Polysomnographic Technologist,weymouth,5
Massachusetts-Eye-and-Ear-Infirmary,Supervisor of Grant Accounting,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Clinical Research Revenue Analyst,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,"Pediatric Unit, Registered Nurse",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Senior Polysomnographic Technologist,weymouth,5
Massachusetts-Eye-and-Ear-Infirmary,Staff RN,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Student Nurse,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,Patient service coordinator,Boston,2
Massachusetts-Eye-and-Ear-Infirmary,Executive Secretary to Chief of Radiology,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Sr. Medical Staff Assistant,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,PACU Registered Nurse/Nurse Practitioner,Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Nurse,Boston,3
Massachusetts-Eye-and-Ear-Infirmary,I.S. Team Lead,boston,4
Massachusetts-Eye-and-Ear-Infirmary,"Charge entry billing clerk, registration and A/R",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,"Registered Nurse, Otology/Neurotology Clinic",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Housekeeper,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Administrative Assistant - Internship,Boston,5
Massachusetts-Eye-and-Ear-Infirmary,Senior Histology Tech.,Main campus,2
Massachusetts-Eye-and-Ear-Infirmary,"Line cook, Prep cook, and server",Boston,4
Massachusetts-Eye-and-Ear-Infirmary,Information Coordinator,Boston,2
Massachusetts-Eye-and-Ear-Infirmary,Senior Pharmacy Assistant (Part-time),Boston,5
