Company,Title,Location,Rating
NASDAQ,PRODUCT OPERATIONS ANALYST,Boston,4
NASDAQ,Accountant III,Rockville,4
NASDAQ,Accountant III - Accounts Payable,Rockville,3
NASDAQ,Client Order Specialist,Boston,2
NASDAQ,Product Manager,New York,3
NASDAQ,SENIOR MANAGEMENT CONSULTANT,Shelton,4
NASDAQ,LEAD RECRUITER / TALENT ACQUISITION (CONTRACT),1 Liberty Plaza NYC,3
NASDAQ,Operation Analytics Summer Intern,New York,5
NASDAQ,product manager,Rockville,5
NASDAQ,Senior IT Consultant,Chicago,3
NASDAQ,"Sales Director, Corporate Services",Maynard,3
NASDAQ,Systems Administrator,New York,5
NASDAQ,Vice President of Global Infrastructure,Shelton,4
NASDAQ,Business Analyst,New York,1
NASDAQ,Lead Recruiter / Talent Acquisition (Consultant),New York,3
NASDAQ,Broadcast Technician,New York,2
NASDAQ,COMPUTER OPERATIONS ACCOUNTING,Trumbull,5
NASDAQ,Network Engineer,NY,1
NASDAQ,Product Manager (Independent Consultant),Rockville,5
NASDAQ,Senior Director - Global Infrastructure,Philadelphia,4
NASDAQ,Head of Application Development,New York,5
NASDAQ,PRODUCT OPERATIONS ANALYST,Boston,4
NASDAQ,Relationship Manager- Global Investor Relations,Chicago,3
NASDAQ,Director,Rockville,4
NASDAQ,"Managing Director, Market Intelligence Desk",New York,4
NASDAQ,BILLING ASSISTANT,Los Angeles,4
NASDAQ,Business Analyst,New York,1
NASDAQ,"Sales Director, Corporate Services",Maynard,3
NASDAQ,IT Internet Security Manager,New York,5
NASDAQ,"Senior Systems Analyst, Specialist",Trumbull,2
NASDAQ,Webcast Production Manager,San Francisco,5
NASDAQ,Senior Adminstrative Assistant,Trumbull,4
NASDAQ,"Finance Manager & Analyzer, Day Trader in NYC",New York,4
NASDAQ,Senior QA Analyst,Rockville,4
NASDAQ,N/A,NY,3
NASDAQ,Manager Network Engineering & Software Services,Trumbull CT,5
NASDAQ,Vice President of Global Infrastructure,Shelton,4
NASDAQ,Analyst,Philadelphia,2
NASDAQ,Senior Analyst,Philadelphia,3
NASDAQ,"Contract Position, Documentation Specialist",Marlboro,4
NASDAQ,eSpeed Associate,New York,5
NASDAQ,Sales,Chicago,3
NASDAQ,PRODUCT OPERATIONS ANALYST,Boston,4
NASDAQ,Account Manager,San Francisco,5
NASDAQ,Relationship Manager- Global Investor Relations,Chicago,3
NASDAQ,Consultant/Contractor,Work From Home Contractor/Consultant,5
NASDAQ,"Managing Director, North American Buy Side Sales",New York,4
NASDAQ,Specialist / Associate Director,New York,4
NASDAQ,"Senior Systems Analyst, Specialist",Trumbull,2
NASDAQ,Data Center Operations,New York,4
NASDAQ,Senior Analyst,Philadelphia,3
NASDAQ,"Multimedia Production Manager,",San Francisco,2
NASDAQ,Intern,Rockville,5
NASDAQ,PROCUREMENT CONSULTANT,New York,3
NASDAQ,"Finance Manager & Analyzer, Day Trader in NYC",New York,4
NASDAQ,Senior Adminstrative Assistant,Trumbull,4
NASDAQ,Manager Network Engineering & Software Services,Trumbull CT,5
NASDAQ,Operation's Assistant,Trumbull,5
NASDAQ,"Contract Position, Documentation Specialist",Marlboro,4
NASDAQ,Director,Rockville,4
NASDAQ,unidentified,New York,3
NASDAQ,Sales,Chicago,3
NASDAQ,Multimedia Project Manager,San Francisco,5
NASDAQ,PRODUCT OPERATIONS ANALYST,Boston,4
NASDAQ,"Managing Director, Market Intelligence Desk",New York,4
NASDAQ,unidentified,New York,3
NASDAQ,Senior Production Manager,Rockville,5
NASDAQ,IT Internet Security Manager,New York,5
NASDAQ,Webcast Production Manager,San Francisco,5
NASDAQ,eSpeed Associate,New York,5
NASDAQ,Analyst,Philadelphia,2
NASDAQ,Senior QA Analyst,Rockville,4
NASDAQ,N/A,NY,3
NASDAQ,BILLING ASSISTANT,Los Angeles,4
