Company,Title,Location,Rating
Otis,Executive Assistant,Illinois,4
Otis,"Sr. Manager, Supply Chain",Florence,2
Otis,IT Professional,Farmington,5
Otis,Project Manager/Customer Service,Bloomington,5
Otis,Intern,Madison,5
Otis,SR ASSISTANT/ GENERAL ADMIN,Shelton,5
Otis,Warehouse Manager,Milwaukee,5
Otis,Supply Chain Manager,Florence,4
Otis,Assembler/Production,Florence,4
Otis,mechanic,Raleigh,4
Otis,Forklift Driver,Florence,4
Otis,Assembler/Team Lead/ Exposure,Florence,2
Otis,"Supervisor, Field Operations Management",Roseville,4
Otis,ELEVATOR MECHANIC APPRENTICE,Las Vegas,4
Otis,Senior Account Manager,San Francisco,5
Otis,Service Supervisor,Syracuse,4
Otis,Assembler,Florence,5
Otis,Account Manager,Tulsa,4
Otis,Senior Account Manager,Pittsburgh,5
Otis,maintanance,Bloomington,5
Otis,General Administrator/ Inspections Communicator,Miami,4
Otis,Executive Assistant,Illinois,4
Otis,Credit Controller - Key Accounts,relocate,3
Otis,Elevator Technician (Mechanics Helper),New Orleans,3
Otis,Accounting Analyst,Florence,4
Otis,"Mechanical Engineer, Innovation",Farmington,5
Otis,Sr. Administrative Assist to V.P,Farmington,1
Otis,Service Coordinator/Purchasing Agent,Denver,5
Otis,Electro-mechanical assembler,Bloomfield,5
Otis,Drafter,Florence,4
Otis,Regional Manager,South America,5
Otis,CLC ( Entry Level Drafter ),Florence,4
Otis,Information Systems Analyst (JD Edwards CNC),Farmington,5
Otis,Production Supervisor,Florence,4
Otis,Product Support Systems Analyst,Florence,5
Otis,Customer Service Representative,Farmington,5
Otis,Accounts Payable Manager,Florence,4
Otis,Management and Technical Positions (Various),Bloomington,5
Otis,Service Coordinator,Portland,4
Otis,"Mechanic , Elevator , Escalator",NY N.Y.,4
Otis,Apprentice,Lanham,4
Otis,Modernization Sales Manager/Account Executive,Sunnyvale,5
Otis,Executive Assistant,Illinois,4
Otis,Credit Controller - Key Accounts,relocate,3
Otis,Elevator Technician (Mechanics Helper),New Orleans,3
Otis,Accounting Analyst,Florence,4
Otis,"Mechanical Engineer, Innovation",Farmington,5
Otis,Sr. Administrative Assist to V.P,Farmington,1
Otis,Service Coordinator/Purchasing Agent,Denver,5
Otis,Electro-mechanical assembler,Bloomfield,5
Otis,Drafter,Florence,4
Otis,Regional Manager,South America,5
Otis,CLC ( Entry Level Drafter ),Florence,4
Otis,Information Systems Analyst (JD Edwards CNC),Farmington,5
Otis,Production Supervisor,Florence,4
Otis,Product Support Systems Analyst,Florence,5
Otis,Customer Service Representative,Farmington,5
Otis,Accounts Payable Manager,Florence,4
Otis,Management and Technical Positions (Various),Bloomington,5
Otis,Service Coordinator,Portland,4
Otis,"Mechanic , Elevator , Escalator",NY N.Y.,4
Otis,Apprentice,Lanham,4
Otis,Modernization Sales Manager/Account Executive,Sunnyvale,5
Otis,Executive Assistant,Illinois,4
Otis,IS Help Desk Manager,Bloomington,3
Otis,Accounts Payable Manager,Florence,4
Otis,Collections and Accounts Receivable Clerk,San Francisco,4
Otis,CLC ( Entry Level Drafter ),Florence,4
Otis,maintanance,Bloomington,5
Otis,NEQ/MOD Superintendent,Albany,4
Otis,Customer Service Representative,Farmington,5
Otis,Customer Service Representative/ Elite Specialist,Farmington CT,5
Otis,Intern,Florence,4
Otis,Elevator Maintenance Mechanic,Philadelphia P.A. and Tri-state area,2
Otis,Information Systems Analyst (JD Edwards CNC),Farmington,5
Otis,Apprentice,Lanham,4
Otis,"Mechanic , Elevator , Escalator",NY N.Y.,4
Otis,Elevator Mechanic Assistant,Miami,5
Otis,Service Coordinator/Purchasing Agent,Denver,5
Otis,electrician / construction,Austin,5
Otis,Electro-mechanical assembler,Bloomfield,5
Otis,Elevator Construction Mechanic and Installer,Orlando,5
Otis,Customer Service Representative,Farmington,4
Otis,Material Handler/Stocker,Florence,3
Otis,Executive Assistant,Illinois,4
Otis,Mechanic,Sarasota,4
Otis,Elevator Construction Mechanic and Installer,Orlando,5
Otis,Instructor,Westchester,5
Otis,New Construction Mechanic,Seattle,4
Otis,Customer Service Representative,Farmington,3
Otis,Tecnico Avarias,Lisbon,4
Otis,Modernization Sales Manager/Account Executive,Sunnyvale,5
Otis,Senior Business Analyst,Wheeling,3
Otis,Service Coordinator,Portland,4
Otis,Electro-mechanical assembler,Bloomfield,5
Otis,NEQ/MOD Superintendent,Albany,4
Otis,CLC ( Entry Level Drafter ),Florence,4
Otis,Installer/Helper,Tampa,4
Otis,Elevator Maintenance Mechanic,Philadelphia P.A. and Tri-state area,2
Otis,Regional Manager,South America,5
Otis,Account Manager,Chicago,4
Otis,Drafter,Florence,4
