Company,Title,Location,Rating
PUMA,sales associate,Wrentham,5
PUMA,Sales Associate,Birch Run,3
PUMA,Sales Associate,Hilton Head,5
PUMA,Floor Sells Person,Harriman,5
PUMA,Cashier/Customer Service,Puerto Rico,5
PUMA,Sales Assosiate,Saint Augustine,5
PUMA,Sales Associate,Elizabeth,4
PUMA,Graphic Designer,48 west 38th st,4
PUMA,Assistant Manager,King of Prussia,4
PUMA,SALES ASSOCIATE,Sawgrass Mills -Sunrise,4
PUMA,Freelance Designer,New York,5
PUMA,Supervisor,Philadelphia,5
PUMA,Sales Associate,Glendale,5
PUMA,Sales Associate,Edinburgh,3
PUMA,Sales Associate,Lutz,5
PUMA,Sales Associate/Customer Service,Charlotte,4
PUMA,Sales Representative,PR,5
PUMA,Assistant Store Manager,New York,4
PUMA,Store Manager,California,4
PUMA,Sales Associate,Round Rock,3
PUMA,Assistant Manager/Administrator,Orlando,4
PUMA,sales associate,Wrentham,5
PUMA,Retail Associate,Castle Rock,4
PUMA,Store Manager,Petaluma,5
PUMA,Store Manager,Las Vegas,5
PUMA,Sale Associate,orlando,4
PUMA,SALES ASSOCIATE,Calexico,4
PUMA,"Retail Merchandising, Assistant Footwear Buyer",Westford MA,4
PUMA,Supervisor,Primm,4
PUMA,Seasonal Sales Associate,City of Sunrise,3
PUMA,Seasonal Sales Associate at Puma,Glendale,4
PUMA,Retail Sales Associate,Bloomington,3
PUMA,Sales Associate,San Antonio,1
PUMA,Sales Associate,Bethlehem,5
PUMA,"Manager, HR Operations",Westford,3
PUMA,Cashier/ Sales Associate,San Ysidro,5
PUMA,"Cashier/Sales Associate,",Grapevine,5
PUMA,Sales Associate/Stock room assistant,Los Angeles,4
PUMA,Full Time Supervisor,Anthem az,4
PUMA,Sales Associate,Orlando,3
PUMA,Customer Service Representative/ Sales Associate,Orlando,4
PUMA,Sales Associate/Customer Service,Charlotte,4
PUMA,sales associate,Wrentham,5
PUMA,Retail Associate,Castle Rock,4
PUMA,Store Manager,Petaluma,5
PUMA,Store Manager,Las Vegas,5
PUMA,Sale Associate,orlando,4
PUMA,SALES ASSOCIATE,Calexico,4
PUMA,"Retail Merchandising, Assistant Footwear Buyer",Westford MA,4
PUMA,Supervisor,Primm,4
PUMA,Seasonal Sales Associate,City of Sunrise,3
PUMA,Seasonal Sales Associate at Puma,Glendale,4
PUMA,Retail Sales Associate,Bloomington,3
PUMA,Sales Associate,San Antonio,1
PUMA,Sales Associate,Bethlehem,5
PUMA,"Manager, HR Operations",Westford,3
PUMA,Cashier/ Sales Associate,San Ysidro,5
PUMA,"Cashier/Sales Associate,",Grapevine,5
PUMA,Sales Associate/Stock room assistant,Los Angeles,4
PUMA,Full Time Supervisor,Anthem az,4
PUMA,Sales Associate,Orlando,3
PUMA,Customer Service Representative/ Sales Associate,Orlando,4
PUMA,Sales Associate/Customer Service,Charlotte,4
PUMA,sales associate,Wrentham,5
PUMA,Sales Representative,Washington,3
PUMA,"Cashier, stock associate, sales associate",cherry creek - denver co.,5
PUMA,Assistant Store Manager,New York,4
PUMA,Inventory Manager,Wrentham,2
PUMA,Seasonal Sales Associate at Puma,Glendale,4
PUMA,"Retail Merchandising, Assistant Footwear Buyer",Westford MA,4
PUMA,Store Manager,Las Vegas,5
PUMA,Sales Associate,Orlando,4
PUMA,Sales Associate,Round Rock,3
PUMA,SUPERVISOR,Aurora,2
PUMA,Sales Associate/Stock room assistant,Los Angeles,4
PUMA,Sales Associate,San Antonio,1
PUMA,Retail Stocker,Washington,4
PUMA,Supervisor,Elmhurst,5
PUMA,Cashier/ Sales Associate,San Ysidro,5
PUMA,"Cashier/Sales Associate,",Grapevine,5
PUMA,Sales Associate,cabazon ca,2
PUMA,Supervisor - Sales Floor and Customer Service,Niagara Falls NY,4
PUMA,SALES ASSOCIATE,Sawgrass Mills -Sunrise,4
PUMA,Store Manager,California,4
PUMA,sales associate,Wrentham,5
PUMA,Sales Associate,Round Rock,3
PUMA,Seasonal Sales Associate,City of Sunrise,3
PUMA,Supervisor,Elmhurst,5
PUMA,Assistant Manager/Administrator,Orlando,4
PUMA,Customer Service Representative/ Sales Associate,Orlando,4
PUMA,Store Manager,Las Vegas,5
PUMA,Sales Associate,Brigdewater,5
PUMA,"Retail Merchandising, Assistant Footwear Buyer",Westford MA,4
PUMA,Full time Manager,Birch Run,5
PUMA,Sale Associate,orlando,4
PUMA,Sales Associate,ellenton,5
PUMA,"Manager, HR Operations",Westford,3
PUMA,Floor Supervisor,Waipahu,3
PUMA,Retail Sales Associate,Bloomington,3
PUMA,Sales Associate,Cabazon,5
PUMA,Sales Associate,North Las Vegas,4
PUMA,Team Memeber/Jr. Supervisor,Jeffersonville OH,5
PUMA,Inventory Manager,Wrentham,2
PUMA,Cashier/ Sales Associate,San Ysidro,5
PUMA,"Cashier/Sales Associate,",Grapevine,5
PUMA,sales associate,Wrentham,5
PUMA,Sales Associate,Miami,5
PUMA,Part Time Supervisor,Jeffersonville,5
PUMA,Sales Associate/Cashier,Riverhead,3
PUMA,Sales Representative,Columbus,5
PUMA,Store Manager,California,4
PUMA,Assistant Store Manager,New York,4
PUMA,Retail Stocker,Washington,4
PUMA,Sales associate and cashier,Orlando,3
PUMA,P/T Supervisor,New York,4
PUMA,Sales Representative,Washington,3
PUMA,Team Memeber/Jr. Supervisor,Jeffersonville OH,5
PUMA,Inventory Manager,Wrentham,2
PUMA,order selecter,commerce ca.,3
PUMA,sales assistant,Alger,4
