Company,Title,Location,Rating
Putnam-Investments,Product Strategy and Development Analyst,Boston,4
Putnam-Investments,Executive Assistant to SVP of Financial Operations,Andover,5
Putnam-Investments,Investor Service Representative,Andover,5
Putnam-Investments,Participant Service Representative,Andover,5
Putnam-Investments,Client Services Representative,Andover,5
Putnam-Investments,Quality Analyst,Boston,5
Putnam-Investments,Help Desk Engineer,Andover,4
Putnam-Investments,Account Associate via Xerox,Boston,4
Putnam-Investments,Operations,Andover,2
Putnam-Investments,associate,Franklin,5
Putnam-Investments,Analytical Analysis,Andover,5
Putnam-Investments,Investments,Boston,3
Putnam-Investments,Technical Coordinator,Andover,5
Putnam-Investments,Customer Service Representative/Data Entry,Andover,5
Putnam-Investments,Senior Processor,Andover,4
Putnam-Investments,Supervisor,Boston,4
Putnam-Investments,analyst,Andover,4
Putnam-Investments,Investor Service Rep,Andover,5
Putnam-Investments,Control Accountant I,Franklin,4
Putnam-Investments,Client Services Representative,Andover,5
Putnam-Investments,GOLDEN SCALE / DEDICATED SERVICES SPECIALIST,Andover,4
Putnam-Investments,Product Strategy and Development Analyst,Boston,4
Putnam-Investments,Investor Services Representative,Andover,4
Putnam-Investments,Inside Consultant,Andover,5
Putnam-Investments,Processor,Franklin,3
Putnam-Investments,Java/J2EE Developer,Boston,5
Putnam-Investments,Sr. Processor/Employee Accounts,Franklin,5
Putnam-Investments,Senior Account Executive,Andover,4
Putnam-Investments,Customer Service Associate,Andover,5
Putnam-Investments,Participant Service Representative,Andover,3
Putnam-Investments,Client Service Specialist,Andover,5
Putnam-Investments,Accounts Payable Specialist,Andover,5
Putnam-Investments,Operational Quality Control Specialist,Franklin,5
Putnam-Investments,Client Services Representative,Andover,5
Putnam-Investments,Operational Quality Control Specialist,Franklin,5
Putnam-Investments,System Set up Team Leader,Norwood,5
Putnam-Investments,Facilities Coordinator,Boston,5
Putnam-Investments,Internet Support Specialist,Andover,2
Putnam-Investments,Customer Service Representative,Franklin,4
Putnam-Investments,Technical Coordinator,Andover,5
Putnam-Investments,Control Accountant I,Franklin,4
Putnam-Investments,Senior Operations Manager,Franklin,5
Putnam-Investments,Product Strategy and Development Analyst,Boston,4
Putnam-Investments,Application support Investment Banking Application,Boston,4
Putnam-Investments,Investor Services Representative,Andover,4
