Company,Title,Location,Rating
QIAGEN,US Sales Manager,Beverly,3
QIAGEN,Manager,Germantown,1
QIAGEN,Executive Assistant,Germantown,2
QIAGEN,Assay Development Scientist,Waltham,5
QIAGEN,Field Service Dispatcher,Valencia,5
QIAGEN,Administrative Assistant / Specialist I,Germantown,5
QIAGEN,Assembly Line Clerk (Temporary under Randstad),Germantown,4
QIAGEN,"Specialist, Government QuantiFERON Sales",Dallas-Fort Worth,4
QIAGEN,Laboratory Technician,Mansfield,5
QIAGEN,clinical sales,Collegeville,3
QIAGEN,Senior Director Molecular Marketing North America,Germantown,3
QIAGEN,Associate Director,Germantown,3
QIAGEN,Software Test Engineer II,Gaithersburg,4
QIAGEN,"Receptionist, Assistant Facilities Engineering",Frederick,4
QIAGEN,Building Maintenance Worker,Germantown,5
QIAGEN,Front Desk Receptionist,Germantown,4
QIAGEN,Production Tech Support Scientist I,Gaithersburg,4
QIAGEN,Senior Customer Care Representative,Valencia,4
QIAGEN,Senior Director Global Business Program Lead MDx,Gaithersburg,4
QIAGEN,"Accounting Associate, Accounts Receivable",Germantown,2
QIAGEN,Scientist I,Gaithersburg,4
QIAGEN,US Sales Manager,Beverly,3
