Company,Title,Location,Rating
Shawmut-Design-and-Construction,Executive Assistant CLO/CIO,Boston,5
Shawmut-Design-and-Construction,Senior User Services Specialist,New York,4
Shawmut-Design-and-Construction,Project Accountant Intern,New York,4
Shawmut-Design-and-Construction,Assistant Project Manager,Boston,3
Shawmut-Design-and-Construction,Office Assistant,Boston,3
Shawmut-Design-and-Construction,Software Development Manager,Boston,4
Shawmut-Design-and-Construction,Project Manager/Estimator,Boston,5
Shawmut-Design-and-Construction,Executive Assistant CLO/CIO,Boston,5
Shawmut-Design-and-Construction,Senior User Services Specialist,New York,4
Shawmut-Design-and-Construction,Project Accountant Intern,New York,4
Shawmut-Design-and-Construction,Assistant Project Manager,Boston,3
Shawmut-Design-and-Construction,Office Assistant,Boston,3
Shawmut-Design-and-Construction,Software Development Manager,Boston,4
Shawmut-Design-and-Construction,Project Manager/Estimator,Boston,5
