Company,Title,Location,Rating
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,Independent Contractor,Torrance,1
Simon-Property-Group,Help Desk Analyst,Indianapolis,3
Simon-Property-Group,Office Administrator,Duluth,3
Simon-Property-Group,Marketing Administrator,Maine,2
Simon-Property-Group,Guest Service Representative,Cabazon,4
Simon-Property-Group,LOCAL LEASING REPRESENTATIVE,Denver,5
Simon-Property-Group,Guest Service Representative,Washington,1
Simon-Property-Group,Guest Services representative,San Antonio,1
Simon-Property-Group,Marketing Intern,Boston,5
Simon-Property-Group,Custodial Worker,Kittery,5
Simon-Property-Group,Maintenance Worker,Township of Jackson,4
Simon-Property-Group,CORPORATE TAX ACCOUNTANT,Indianapolis,3
Simon-Property-Group,Specialty Leasing Manager,Indianapolis,4
Simon-Property-Group,Director of Marketing and Business Development,Aurora,3
Simon-Property-Group,Sales Associate,St George,1
Simon-Property-Group,Customer Service,Round Rock,1
Simon-Property-Group,Assistant,Indianapolis,4
Simon-Property-Group,Guest Service Representative,Melbourne,3
Simon-Property-Group,Office Administrator,California,1
Simon-Property-Group,VP FINANCIAL SYSTEM INTEGRATION,Indianapolis,5
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,Operations Manager,MD,4
Simon-Property-Group,Administrative office assistant,Irving,4
Simon-Property-Group,Lease Analyst - Cash Specialist,Indianapolis,2
Simon-Property-Group,Guest Service Representative,Washington,1
Simon-Property-Group,Customer Service Rep,Livingston,5
Simon-Property-Group,Custodial Worker,Kittery,5
Simon-Property-Group,Sales Associate,St George,1
Simon-Property-Group,Operations Director,Albuquerque,2
Simon-Property-Group,Marketing Intern,Boston,5
Simon-Property-Group,CORPORATE TAX ACCOUNTANT,Indianapolis,3
Simon-Property-Group,Guest Services Manager,Tacoma,5
Simon-Property-Group,General Manager,Various Locations,4
Simon-Property-Group,Help Desk Support,Indianapolis,4
Simon-Property-Group,Maintenance Supervisor,Merrimack,4
Simon-Property-Group,Maintenance Worker,Tyler,4
Simon-Property-Group,Media Coordinator,Roseland,3
Simon-Property-Group,Office Administrator,Camarillo,4
Simon-Property-Group,maintenance,monroe ohio,1
Simon-Property-Group,Administrative Assistant (Temporary Coverage),Roseland,3
Simon-Property-Group,Specialty Retail Project Manager,Indianapolis,2
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,Guest Services Manager,Tacoma,5
Simon-Property-Group,Guest Service Representative,Santa Rosa,3
Simon-Property-Group,Customer Service Representative,Ellenton,3
Simon-Property-Group,Operations Director,Albuquerque,2
Simon-Property-Group,Security Manager,Brea,1
Simon-Property-Group,Guest Service Representative/ Receptionist,Houston,4
Simon-Property-Group,Area Guest Services Manager,San Antonio,4
Simon-Property-Group,Guest Services Representative,Harrisonburg,4
Simon-Property-Group,Guest Service Representative,Memphis,5
Simon-Property-Group,Guest Service Representative,King of Prussia,2
Simon-Property-Group,Shopping mall Customer Service Representative,Mission Viejo Ca,5
Simon-Property-Group,Guest Services Representative,Whitehall Township,5
Simon-Property-Group,maintenance,monroe ohio,1
Simon-Property-Group,Office Administrator,Camarillo,4
Simon-Property-Group,Customer service,Knoxville,4
Simon-Property-Group,Specialty Leasing Representative,Jacksonville,4
Simon-Property-Group,Maintenance Worker,Tyler,4
Simon-Property-Group,Customer Service/Sales Representative,Indianapolis,4
Simon-Property-Group,Customer Service Representative,Waterford,4
Simon-Property-Group,Administrative Assistant (Temporary Coverage),Roseland,3
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,Facilities Technician,Orange,4
Simon-Property-Group,Customer service,Knoxville,4
Simon-Property-Group,Guest Service Representative/ Receptionist,Houston,4
Simon-Property-Group,Guest Service Representative,Melbourne,3
Simon-Property-Group,VP FINANCIAL SYSTEM INTEGRATION,Indianapolis,5
Simon-Property-Group,Area Guest Services Manager,San Antonio,4
Simon-Property-Group,Asst Director of Mrkting & Business Development,Jacksonville,4
Simon-Property-Group,Lease Accounting Specialist,Indianapolis,5
Simon-Property-Group,Specialty Leasing Representative,Jacksonville,4
Simon-Property-Group,Office Administrator - Barton Creek Square,Austin,5
Simon-Property-Group,Guest Service Representative,Memphis,5
Simon-Property-Group,Guest Services Representative,Duluth,5
Simon-Property-Group,Guest Services Manager,Oklahoma City,4
Simon-Property-Group,Office Administrator,Indiana,2
Simon-Property-Group,Senior Vice President - HR and Corporate Ops,Indianapolis,5
Simon-Property-Group,Customer Service Representative,Ellenton,3
Simon-Property-Group,Area Director of Business Development,Atlanta,4
Simon-Property-Group,Marketing Coordinator,Indianapolis,5
Simon-Property-Group,Guest Services Representative,Harrisonburg,4
Simon-Property-Group,Office Administrator,Milpitas,4
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,Legal Leasing Assistant,Indianapolis,5
Simon-Property-Group,Guess Services Associate/ Receptionist,Miami,5
Simon-Property-Group,Customer Care Specialist and Trainer,Palo Alto,4
Simon-Property-Group,Guest Services Manager,TX,5
Simon-Property-Group,Guest Services Representative,Duluth,5
Simon-Property-Group,Style Setter Blogger,Memphis,3
Simon-Property-Group,Customer Service Rep,Livingston,5
Simon-Property-Group,Marketing Administrator,Lincolnwood,4
Simon-Property-Group,Lease Analyst - Cash Specialist,Indianapolis,2
Simon-Property-Group,Marketing Coordinator,Indianapolis,5
Simon-Property-Group,Guest Service Representative,Albuquerque,3
Simon-Property-Group,Office Administrator - Barton Creek Square,Austin,5
Simon-Property-Group,Office Administrator,Indiana,2
Simon-Property-Group,Asst Director of Mrkting & Business Development,Jacksonville,4
Simon-Property-Group,Maintenance Supervisor,Merrimack,4
Simon-Property-Group,Manager,Indianapolis,2
Simon-Property-Group,Guest Services Representative,Laguna Hills,4
Simon-Property-Group,Marketing,Ohio,3
Simon-Property-Group,Lease Accounting Specialist,Indianapolis,5
Simon-Property-Group,Guest Services Representative,Northshore Mall,4
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,General Manager,Various Locations,4
Simon-Property-Group,Local Leasing Associate,Rapid City,5
Simon-Property-Group,Guest Services Representative,Boca Raton,5
Simon-Property-Group,Property Management Regional Assistant,Chevy Chase,4
Simon-Property-Group,Senior Vice President - HR and Corporate Ops,Indianapolis,5
Simon-Property-Group,Office Administrator,Milpitas,5
Simon-Property-Group,HelpDesk Analyst/Receptionist(Temp),Cedar Knolls,4
Simon-Property-Group,Facilities Technician,Orange,4
Simon-Property-Group,Lease Accountant,Indianapolis,4
Simon-Property-Group,Operations Manager,MD,4
Simon-Property-Group,Specialty Retail Project Manager,Indianapolis,2
Simon-Property-Group,Administrative Assistant,Indianapolis,4
Simon-Property-Group,Area Marketing & Business Development Director,Davenport,5
Simon-Property-Group,Marketing & Business Development Intern,Sawgrass,5
Simon-Property-Group,Office Administrator,Milpitas,4
Simon-Property-Group,Operations Supervisor,Story City,5
Simon-Property-Group,Marketing Administrative Assistant,Milpitas,4
Simon-Property-Group,Area Director of Business Development,Atlanta,4
Simon-Property-Group,Media Coordinator,Roseland,3
Simon-Property-Group,Guest Services Manager,Oklahoma City,4
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,General Manager,Various Locations,4
Simon-Property-Group,Local Leasing Associate,Rapid City,5
Simon-Property-Group,Guest Services Representative,Boca Raton,5
Simon-Property-Group,Property Management Regional Assistant,Chevy Chase,4
Simon-Property-Group,Senior Vice President - HR and Corporate Ops,Indianapolis,5
Simon-Property-Group,Office Administrator,Milpitas,5
Simon-Property-Group,HelpDesk Analyst/Receptionist(Temp),Cedar Knolls,4
Simon-Property-Group,Facilities Technician,Orange,4
Simon-Property-Group,Lease Accountant,Indianapolis,4
Simon-Property-Group,Operations Manager,MD,4
Simon-Property-Group,Specialty Retail Project Manager,Indianapolis,2
Simon-Property-Group,Administrative Assistant,Indianapolis,4
Simon-Property-Group,Area Marketing & Business Development Director,Davenport,5
Simon-Property-Group,Marketing & Business Development Intern,Sawgrass,5
Simon-Property-Group,Office Administrator,Milpitas,4
Simon-Property-Group,Operations Supervisor,Story City,5
Simon-Property-Group,Marketing Administrative Assistant,Milpitas,4
Simon-Property-Group,Area Director of Business Development,Atlanta,4
Simon-Property-Group,Media Coordinator,Roseland,3
Simon-Property-Group,Guest Services Manager,Oklahoma City,4
Simon-Property-Group,Shuttle Driver,Austin,4
Simon-Property-Group,"Manager, Accounts Receivable/Collections",Indianapolis,4
Simon-Property-Group,Help Desk Support,Indianapolis,4
Simon-Property-Group,Administrative office assistant,Irving,4
Simon-Property-Group,Manager,MA,4
Simon-Property-Group,Administrative Assistant,Indianapolis,4
