Company,Title,Location,Rating
State-Street,"Assistant Vice President, Training",Boston,4
State-Street,Manager,Boston,2
State-Street,Operations Specialist,Quincy,3
State-Street,"Associate 1, Cash Processing Accountant",Boston,2
State-Street,Portfolio Manager,Boston,3
State-Street,Vice President HR,Boston,3
State-Street,Senior Fund Accountant,Princeton,2
State-Street,Vice President of Business Development,Boston,1
State-Street,"Cash, Custody & Trades Associate",Quincy,4
State-Street,Pricing Analyst II,Quincy,3
State-Street,Bank Loan Servicing Specialist,Kansas City,5
State-Street,Assistant Vice President,Boston,4
State-Street,Fund Administrator II,Kansas City,2
State-Street,Senior Associate,Boston,2
State-Street,Derivatives Operations Specialist,Irvine,3
State-Street,"Client Service, Associate",Quincy,4
State-Street,Fund Administrator,Kansas City,3
State-Street,SFDC Administrator/Developer,Boston,5
State-Street,Application Developer,Boston,3
State-Street,Asset Manager Services,Boston,2
State-Street,Associate,Boston,4
State-Street,"Assistant Vice President, Training",Boston,4
State-Street,Quantextual Research Fellow (Internship),Cambridge,5
State-Street,Custody&Fund Account Specialist Client Operations,Boston,3
State-Street,IT Network Technician,Quincy,5
State-Street,Portfolio Manager,Boston,3
State-Street,Operations Analyst,Boston,5
State-Street,Operations Specialist,Quincy,3
State-Street,Pricing Analyst II,Quincy,3
State-Street,Undergraduate Intern,Kansas City,3
State-Street,Regulatory Specialist,Boston,3
State-Street,IIS Product Strategy Summer Intern,Quincy,5
State-Street,Project Manager,Quincy,4
State-Street,Assistant Vice President,Boston,4
State-Street,SVP,Boston,2
State-Street,Vice President HR,Boston,3
State-Street,Data Reference Management Specialist Intern,North Quincy,5
State-Street,ETF Operations Associate,Quincy,3
State-Street,Shareholder Operation Specialist,Quincy,5
State-Street,Assistant Vice President,Austin,5
State-Street,Test Engineer,Boston,4
State-Street,Senior Trade Processor,Quincy,3
State-Street,"Assistant Vice President, Training",Boston,4
State-Street,"Senior Associate, Securities Valuation",Quincy,3
State-Street,Vice President of Business Development,Boston,1
State-Street,SSGS Bank Loan Specialist,Boston,1
State-Street,Manager,Boston,2
State-Street,Quantextual Research Fellow (Internship),Cambridge,5
State-Street,IIS Product Strategy Summer Intern,Quincy,5
State-Street,Fund Administrator,Kansas City,3
State-Street,Fund Accountant,Boston,4
State-Street,Assistant Vice President,Boston,4
State-Street,Asset Manager Services,Boston,2
State-Street,Account Manager/Senior Lead,Quincy,4
State-Street,Financial Regulatory Compliance Expert,Princeton,5
State-Street,Bank Loan Servicing Specialist,Kansas City,5
State-Street,SFDC Administrator/Developer,Boston,5
State-Street,Knowledge Manager & SharePoint/Collaborate Manager,Boston,5
State-Street,Financial Planning & Analysis - Finance Manager,Boston,2
State-Street,HR Coordinator/Recruiter,Boston,1
State-Street,Portfolio Accountant,Boston,3
State-Street,Operations Analyst,Boston,5
State-Street,Capital Market Accounting Co-op,Boston,5
State-Street,"Assistant Vice President, Training",Boston,4
State-Street,Client Service Specialist,Quincy,3
State-Street,Manager,Boston,2
State-Street,CLIENT CASH SPECIALIST,Quincy,3
State-Street,Pricing Analyst,Boston,2
State-Street,Associate,Boston,4
State-Street,Fixed Income Analyst,Boston,3
State-Street,Intern,Boston,5
