Company,Title,Location,Rating
The-Country-Club,Bartender,Brookline,5
The-Country-Club,Assist and manage routine daily operations,Farmington,5
The-Country-Club,Accounting Intern,Cleveland,5
The-Country-Club,Food and Beverage Manager,Belton MO.,4
The-Country-Club,Head of Security,Brookline,5
The-Country-Club,Intern/Office Assistant,Pepper Pike,5
The-Country-Club,Maintenance Worker,Monroe,4
The-Country-Club,Event Set up,Pepper Pike,5
The-Country-Club,Honors Caddie/ Pro Shop Assistant,Pepper Pike,5
The-Country-Club,waitress,Philadelphia,4
The-Country-Club,Houseman,Pepper Pike,4
The-Country-Club,FLOATER,Pepper Pike,5
The-Country-Club,Pool Café Assistant Manager/ Banquet Staff,Brookline,4
The-Country-Club,Part-Time 2005,Brookline,2
The-Country-Club,Accountant,San Jacinto,3
The-Country-Club,Restaurant Assistant,Pepper Pike,5
The-Country-Club,Line Cook,Woodmore,3
The-Country-Club,Golf Course Groundskeeper,San Jacinto,5
The-Country-Club,Lifeguard,Brookline,4
The-Country-Club,Bartender,Brookline,5
The-Country-Club,Assist and manage routine daily operations,Farmington,5
The-Country-Club,Accounting Intern,Cleveland,5
The-Country-Club,Food and Beverage Manager,Belton MO.,4
The-Country-Club,Event Set up,Pepper Pike,5
The-Country-Club,waitress,Philadelphia,4
The-Country-Club,Honors Caddie/ Pro Shop Assistant,Pepper Pike,5
The-Country-Club,Pool Café Assistant Manager/ Banquet Staff,Brookline,4
The-Country-Club,Restaurant Assistant,Pepper Pike,5
The-Country-Club,Accountant,San Jacinto,3
The-Country-Club,Golf Course Groundskeeper,San Jacinto,5
The-Country-Club,Line Cook,Woodmore,3
The-Country-Club,Part-Time 2005,Brookline,2
The-Country-Club,Maintenance Worker,Monroe,4
The-Country-Club,Lifeguard,Brookline,4
The-Country-Club,Houseman,Pepper Pike,4
The-Country-Club,Intern/Office Assistant,Pepper Pike,5
The-Country-Club,FLOATER,Pepper Pike,5
The-Country-Club,Head of Security,Brookline,5
