Company,Title,Location,Rating
The-Kraft-Group,Assistant Manager,Foxboro,4
The-Kraft-Group,Assembler,Worcester,1
The-Kraft-Group,Supervisor,Foxboro,5
The-Kraft-Group,Concession Manager,Foxborough,3
The-Kraft-Group,IT Helpdesk Specialist Intern,Foxborough,2
The-Kraft-Group,Beer Vendor,Foxborough,5
The-Kraft-Group,Hawker,Foxborough,4
The-Kraft-Group,Assistant Manager,Foxboro,4
The-Kraft-Group,Assembler,Worcester,1
The-Kraft-Group,Supervisor,Foxboro,5
The-Kraft-Group,Concession Manager,Foxborough,3
The-Kraft-Group,IT Helpdesk Specialist Intern,Foxborough,2
The-Kraft-Group,Beer Vendor,Foxborough,5
The-Kraft-Group,Hawker,Foxborough,4
