Company,Title,Location,Rating
U-Haul,Customer Service Representative,Somerville,3
U-Haul,Customer Service Representative,Phoenix,5
U-Haul,Assistant Store Manager,Champaign,2
U-Haul,Assistant Manager,aurora,2
U-Haul,Mover,Choctaw,4
U-Haul,PM Supervisor,Chico,3
U-Haul,Reservations Manager,Feasterville,4
U-Haul,Van body Specialist - Current,San Bernardino,4
U-Haul,Customer Service,Aurora,4
U-Haul,Work at Home Agent (Uhaul),Arizona,5
U-Haul,Housekeeping,Lubbock,5
U-Haul,Wwlder,Phoenix,4
U-Haul,Maintenance Worker/CSR,Hobbs,1
U-Haul,Customer Service Representive,Greensburg,1
U-Haul,Customer Service Representative,Rochester,4
U-Haul,CSR - Customer Service Representative,Detroit,5
U-Haul,Customer Service Rep,Houston,5
U-Haul,Assembler,Novi,3
U-Haul,Customer Service Representative,West Palm Beach,3
U-Haul,Customer Service Representative,Huntsville,1
U-Haul,"Customer Service Rep, Dispatcher, Loader",Portland,5
U-Haul,Customer Service Representative,Somerville,3
U-Haul,Assistant Manager,Austin,4
U-Haul,Sales Associate,Levittown,5
U-Haul,Manager,Houston,5
U-Haul,Reservation Manager,Tulsa,5
U-Haul,Call Center Agent,Phoenix,5
U-Haul,Customer Service Representative (CSR),Oklahoma City,4
U-Haul,Technician,Sherrilville In,4
U-Haul,Center Sales,Phoenix,1
U-Haul,Customer Service Representative,Raleigh,4
U-Haul,CSR - Customer Service Representative,Mooresville,4
U-Haul,Rental Sales Associate,East Hartford,3
U-Haul,Customer service Representative & Transfer Driver,Bronx,3
U-Haul,Customer Service Representative,Mobile,5
U-Haul,Cashier,Oakland,3
U-Haul,Customer Service Representative,Fayetteville,1
U-Haul,Facility Housekeeper (custodian),Springfield,5
U-Haul,hitch pro,Rome,4
U-Haul,CSR - Customer Service Representative,Bossier City,5
U-Haul,General Manager,Birmingham,2
U-Haul,Customer Service Representative,Tigard,2
U-Haul,Customer Service Representative,Somerville,3
U-Haul,Assistant Manager,Edmond,4
U-Haul,General Manager,Huntsville,2
U-Haul,Assistant Manager,Austin,4
U-Haul,Customer Service Representative,Paramount,2
U-Haul,Customer Service Representative,Lebanon,3
U-Haul,Web Analyst,Phoenix,3
U-Haul,Storage Facility Housekeeper,Milwaukee,5
U-Haul,Brake and tire inspector,Illinois,1
U-Haul,Assistant Manager,Portland,2
U-Haul,General Manager,Las Vegas,4
U-Haul,Facility Housekeeper (custodian),Springfield,5
U-Haul,CUSTOMER SERVICE REPRESENTATIVE,Seattle,3
U-Haul,Computer Support Specialist,Milwaukee,5
U-Haul,Sales Representative,Farmingdale,2
U-Haul,Center Storage Manager,Yonkers,5
U-Haul,Customer Service Representative,Park Forest,3
U-Haul,AREA DISTRICT MANAGER,Worcester,4
U-Haul,CSR - Customer Service Representative,Mooresville,4
U-Haul,Customer Service Representative,Chantilly,5
U-Haul,Customer Service Representative,Duluth,4
U-Haul,Customer Service Representative,Somerville,3
U-Haul,Customer Service Associate,Port Richey,5
U-Haul,Customer Service Representative,Forest Park,3
U-Haul,Customer Service Representative,Tampa,5
U-Haul,Assistant Store Manager,Mechanicsburg,5
U-Haul,Driver/Mover,Memphis,4
U-Haul,Customer Service - Took telephone reservations,Renton,5
U-Haul,Customer Service Representative,Sacramento,5
U-Haul,Customer service,Phoenix,5
U-Haul,General Manager,Las Vegas,4
U-Haul,Assistant Manager,Edmond,4
U-Haul,Storage Facility Housekeeper,Milwaukee,5
U-Haul,Moving Specialist,Greensboro,4
U-Haul,Front Office Assistant,Jefferson Valley,5
U-Haul,CSR,Gulfport,5
U-Haul,Transport Driver,Atlanta,5
U-Haul,Customer Service Representative,Houston,5
U-Haul,Cusomer Service,Oakland,4
U-Haul,Transfer Driver,San Bernardino,5
U-Haul,Dispatcher,Fort Lauderdale,3
U-Haul,Assistant General Manager,Columbus,5
U-Haul,Customer Service Representative,Somerville,3
U-Haul,Customer Service Associate,Port Richey,5
U-Haul,Customer Service Representative,Forest Park,3
U-Haul,Customer Service Representative,Tampa,5
U-Haul,Assistant Store Manager,Mechanicsburg,5
U-Haul,Driver/Mover,Memphis,4
U-Haul,Customer Service - Took telephone reservations,Renton,5
U-Haul,Customer Service Representative,Sacramento,5
U-Haul,Customer service,Phoenix,5
U-Haul,General Manager,Las Vegas,4
U-Haul,Assistant Manager,Edmond,4
U-Haul,Storage Facility Housekeeper,Milwaukee,5
U-Haul,Moving Specialist,Greensboro,4
U-Haul,Front Office Assistant,Jefferson Valley,5
U-Haul,CSR,Gulfport,5
U-Haul,Transport Driver,Atlanta,5
U-Haul,Customer Service Representative,Houston,5
U-Haul,Cusomer Service,Oakland,4
U-Haul,Transfer Driver,San Bernardino,5
U-Haul,Dispatcher,Fort Lauderdale,3
U-Haul,Assistant General Manager,Columbus,5
U-Haul,Customer Service Representative,Somerville,3
U-Haul,Customer Service Representative,OKC,2
U-Haul,Moving Center G.M,Plano,4
U-Haul,Customer Service Representative,Mobile,5
U-Haul,General Manager,Riverside,5
U-Haul,Customer Service Representative,New York,3
U-Haul,Recovery Agent,Los Angeles,5
U-Haul,SharePoint Administrator (Contractor),Phoenix,5
U-Haul,Customer Service Representative,Phoenix,5
U-Haul,TRAFFIC CONTROL MANAGER,Florida,3
U-Haul,Customer Service Representative,Peoria,5
