Company,Title,Location,Rating
University-of-Massachusetts,Manufacturing Technician II,Jamaica Plain,5
University-of-Massachusetts,Asst Men's Basketball Coach,Amherst,5
University-of-Massachusetts,Program Assistant,Boston,5
University-of-Massachusetts,Zumba® Instructor,Boston,3
University-of-Massachusetts,Assistant to the Dean/Chief of Staff,Lowell,4
University-of-Massachusetts,Floor supervisor,Amherst,5
University-of-Massachusetts,Sr IT Auditor,Shrewsbury,1
University-of-Massachusetts,Receiving/Cashier,Amherst,5
University-of-Massachusetts,Office Assistant/Receptionist,Boston,4
University-of-Massachusetts,Graduate Researcher,Amherst,5
University-of-Massachusetts,Research Engineer,Lowell,5
University-of-Massachusetts,Graduate Research Assistant,Amherst,4
University-of-Massachusetts,Grader,Lowell,5
University-of-Massachusetts,Teaching/Research Assistant,Lowell,5
University-of-Massachusetts,Research Assistant,Boston,5
University-of-Massachusetts,Secretary,Boston,4
University-of-Massachusetts,Graduate Assistant,Dartmouth,5
University-of-Massachusetts,"Reading, Writing, Study Strategies Tutor",Boston,4
University-of-Massachusetts,Lecturer (part-time),Dartmouth,4
University-of-Massachusetts,Professor of Laboratory Science,Dartmouth,3
University-of-Massachusetts,Graduate Assistant,Dartmouth,5
University-of-Massachusetts,Manufacturing Technician II,Jamaica Plain,5
University-of-Massachusetts,Undergraduate Researcher,Amherst,4
University-of-Massachusetts,Supervisor of Janitors,Amherst,4
University-of-Massachusetts,Research Assistant,Lowell,5
University-of-Massachusetts,Research Assistant,Lowell,5
University-of-Massachusetts,"Clerk IV, Registrar, UMass Amherst",Amherst,4
University-of-Massachusetts,Front/Back of house employee,Amherst,4
University-of-Massachusetts,Custodial Area Supervisor,Amherst,5
University-of-Massachusetts,Director Of Access Control,Boston,3
University-of-Massachusetts,Secretary to the Board of Trustees,Boston,3
University-of-Massachusetts,Project Assistant,Lowell,5
University-of-Massachusetts,Residence Hall Student Security,Amherst,5
University-of-Massachusetts,IT Consultant,Boston,5
University-of-Massachusetts,Graduate Assistant,Boston,4
University-of-Massachusetts,Housing Operations Assistant,Amherst,4
University-of-Massachusetts,Chef,Amherst,5
University-of-Massachusetts,Residential Academic Program (RAP) Mentor,Amherst,5
University-of-Massachusetts,Research Assistant,Amherst,4
University-of-Massachusetts,Accountant I- Graduate Office,Amherst,5
University-of-Massachusetts,Resident Assistant,Amherst,4
University-of-Massachusetts,Football Sales Coordinator,Amherst,4
University-of-Massachusetts,Manufacturing Technician II,Jamaica Plain,5
University-of-Massachusetts,Research Assistant,Lowell,5
University-of-Massachusetts,"Clerk IV, Registrar, UMass Amherst",Amherst,4
University-of-Massachusetts,Program Assistant,Boston,5
University-of-Massachusetts,Assistant to the Dean/Chief of Staff,Lowell,4
University-of-Massachusetts,Chef,Amherst,5
University-of-Massachusetts,Director Of Access Control,Boston,3
University-of-Massachusetts,Secretary to the Board of Trustees,Boston,3
University-of-Massachusetts,Administrative Assistant Intern,Lowell,5
University-of-Massachusetts,Research Assistant,Amherst,4
University-of-Massachusetts,IT Consultant,Boston,5
University-of-Massachusetts,RESEARCH ASSISTANT,Lowell,5
University-of-Massachusetts,Research Assistant,Lowell,3
University-of-Massachusetts,Office Manager - Part-Time,Amherst,4
University-of-Massachusetts,Teaching I Research Assistant,Lowell,4
University-of-Massachusetts,Breakage Assistant,Kingston,3
University-of-Massachusetts,Research Assistant,Boston,5
University-of-Massachusetts,Solution Center Specialist,Lowell,3
University-of-Massachusetts,Supervisor,Amherst,5
University-of-Massachusetts,Office Assistant/Receptionist,Boston,4
University-of-Massachusetts,Graduate Research Assistant,North Dartmouth,4
University-of-Massachusetts,Manufacturing Technician II,Jamaica Plain,5
University-of-Massachusetts,Undergraduate Teaching Assistant,Amherst,4
University-of-Massachusetts,Financial Aid Student Officer,Lowell,5
University-of-Massachusetts,Accountant I- Graduate Office,Amherst,5
University-of-Massachusetts,Resident Assistant,Amherst,5
University-of-Massachusetts,Test Automation Engineer,Shrewsbury,5
University-of-Massachusetts,Housing Operations Assistant,Amherst,4
University-of-Massachusetts,Custodial Area Supervisor,Amherst,5
University-of-Massachusetts,Assistant Professor,Amherst,4
University-of-Massachusetts,Online Course Instructor,Amherst,5
University-of-Massachusetts,Computer lab consultant / IT Help Desk,Boston,4
University-of-Massachusetts,Student Assistant,Lowell,5
University-of-Massachusetts,Dean's Administrative Assistant,Boston,3
University-of-Massachusetts,Technical Consultant,Boston,4
University-of-Massachusetts,Resident Advisor,Lowell,3
University-of-Massachusetts,System Analyst,Worcester,5
University-of-Massachusetts,Project Assistant,Lowell,5
University-of-Massachusetts,I. Research Assistant,Lowell,5
University-of-Massachusetts,Microbial Ecology Laboratory Research intern,Boston,5
