Company,Title,Location,Rating
Westinghouse-Electric-Company,Projects Manager / Sr. Asst. to District Manager,Needham,4
Westinghouse-Electric-Company,Nuclear Refueler,Madison,4
Westinghouse-Electric-Company,Electrical Engineering Technician,New Stanton,3
Westinghouse-Electric-Company,HR Administrator/Coordinator,Charlotte,2
Westinghouse-Electric-Company,Maintenance,Ogden,2
Westinghouse-Electric-Company,Senior Engineer,Windsor,1
Westinghouse-Electric-Company,Analyst,Cranberry,2
Westinghouse-Electric-Company,Project Controls Manager,Jenkinsville,4
Westinghouse-Electric-Company,blade streightner,Rural Hall,5
Westinghouse-Electric-Company,Construction Manager,Charlotte,1
Westinghouse-Electric-Company,Principal Engineer/Project Manager,Madison,3
Westinghouse-Electric-Company,Legal Assistant,Cranberry,5
Westinghouse-Electric-Company,Engineer,Cranberry Township,2
Westinghouse-Electric-Company,Principle Software Engineer,Madison,3
Westinghouse-Electric-Company,Production Planner,Cranberry,1
Westinghouse-Electric-Company,"Mechanical Engineer, Mechanical",Pittsburgh,3
Westinghouse-Electric-Company,Engineering Technician III,Columbia,5
Westinghouse-Electric-Company,Manager of Business Operations,Newington,3
Westinghouse-Electric-Company,"Program Manager, RCP &VFD, New Plants",Cranberry,3
Westinghouse-Electric-Company,Project Manager,Cranberry,3
Westinghouse-Electric-Company,Principal Engineer,Columbia,2
Westinghouse-Electric-Company,Projects Manager / Sr. Asst. to District Manager,Needham,4
Westinghouse-Electric-Company,Nuclear Fuel Division - Lead Business Analyst,Columbia,3
Westinghouse-Electric-Company,Principal Supplier Quality Assessment Engineer,cranberry twp,2
Westinghouse-Electric-Company,Control Engineer Contract,Newington,3
Westinghouse-Electric-Company,Field Engineer,HQ Pittsburgh,3
Westinghouse-Electric-Company,Construction Manager,Charlotte,1
Westinghouse-Electric-Company,Pressure Vessel Engineer,Cranberry,5
Westinghouse-Electric-Company,Quality,Charlotte,2
Westinghouse-Electric-Company,Lead at Vogtle Site,Waynesboro,2
Westinghouse-Electric-Company,Senior Engineer,Windsor,1
Westinghouse-Electric-Company,Machine Shop Supervisor,Windsor,5
Westinghouse-Electric-Company,Senior Engineer,Cranberry,2
Westinghouse-Electric-Company,"Lead, Sr. Office Systems Assistant",Madison,4
Westinghouse-Electric-Company,Lot Attendant,Madison,5
Westinghouse-Electric-Company,Senior Financial Analyst,Compton,3
Westinghouse-Electric-Company,Engineering Technician III,Columbia,5
Westinghouse-Electric-Company,Principal Hardware Engineer,Cranberry,3
Westinghouse-Electric-Company,Enginner,Monroeville,4
Westinghouse-Electric-Company,Project Manager,Cranberry Twp,1
Westinghouse-Electric-Company,Team Coordinator/Manager Backup,Columbia,3
Westinghouse-Electric-Company,Integration Construction Planning Team Engineer,Jenkinsville,5
Westinghouse-Electric-Company,Projects Manager / Sr. Asst. to District Manager,Needham,4
Westinghouse-Electric-Company,Quality,Charlotte,2
Westinghouse-Electric-Company,Control Engineer Contract,Newington,3
Westinghouse-Electric-Company,Engineer,Cranberry,4
Westinghouse-Electric-Company,Chemical Operator,Hopkins,2
Westinghouse-Electric-Company,Principal Engineer / Project Manager,Pittsburgh,2
