Company,Title,Location,Rating
WinterWyman,Senior Recruiter - HR Search Division,Waltham,4
WinterWyman,Sales Executive,Waltham,5
WinterWyman,Sales Consultant,Manhattan,3
WinterWyman,SQL Developer,Boston,2
WinterWyman,BI-Reporting Analyst,New York,4
WinterWyman,Business Analyst (Contractor),New York,2
WinterWyman,Temp to perm accountant.,Waltham,5
WinterWyman,Temporary Associate,Waltham,1
WinterWyman,Recruiter,boston ma,1
WinterWyman,Billing Auditor/Legal Assistant,Waltham,5
WinterWyman,Consultant,Waltham,4
WinterWyman,"Contractor, Broker's Assistant",Boston,4
WinterWyman,PBX Console Operator,Cambridge,5
WinterWyman,Senior Recruiter - HR Search Division,Waltham,4
WinterWyman,Sales Executive,Waltham,5
WinterWyman,Sales Consultant,Manhattan,3
WinterWyman,BI-Reporting Analyst,New York,4
WinterWyman,Business Analyst (Contractor),New York,2
WinterWyman,Consultant,Waltham,4
WinterWyman,Billing Auditor/Legal Assistant,Waltham,5
WinterWyman,"Contractor, Broker's Assistant",Boston,4
WinterWyman,PBX Console Operator,Cambridge,5
WinterWyman,Recruiter,boston ma,1
WinterWyman,Temporary Associate,Waltham,1
WinterWyman,SQL Developer,Boston,2
WinterWyman,Temp to perm accountant.,Waltham,5
