Company,Title,Location,Rating
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Data Analyst,Berlin,4
Eversource-Energy,Senior Accountant,Westwood,5
Eversource-Energy,Mail Clerk,Windsor,5
Eversource-Energy,Customer Service Representative,Windsor,3
Eversource-Energy,Executive Assistant to the Vice President,Berlin,3
Eversource-Energy,Customer Service Representative IV,Windsor,5
Eversource-Energy,Records Technician A,Berlin,5
Eversource-Energy,Team Leader,Berlin,4
Eversource-Energy,Coordinator of Training and Work Methods,Meridan,5
Eversource-Energy,Supervisor,Connecticut,3
Eversource-Energy,Meter Reader,Tilton,4
Eversource-Energy,Manager Electric Service Operations,Hart,4
Eversource-Energy,Co-op Student,Boston,4
Eversource-Energy,Equipment Technician,New Hampshire,3
Eversource-Energy,Construction Representative,Tolland,3
Eversource-Energy,Senior Event Planner,Berlin,4
Eversource-Energy,Analyst,Berlin,1
Eversource-Energy,Computer Systems Engineer (Storage Administration),Berlin,1
Eversource-Energy,CSR - Customer Service Representative,Manchester,3
Eversource-Energy,Electrical System Control Center - Intern,Manchester,4
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Systems Engineer,Berlin,4
Eversource-Energy,management,Berlin,5
Eversource-Energy,Business Application Systems Developer,Berlin,4
Eversource-Energy,"daily basis, as well as senior management",Berlin,4
Eversource-Energy,Ergonomics Injury Prevention Specialist,Berlin,5
Eversource-Energy,Working Foreman/Electric Distribution,Newport,4
Eversource-Energy,Distribution system operator,Berlin Ct,5
Eversource-Energy,Electrical System Control Center - Intern,Manchester,4
Eversource-Energy,Credit and Collections Specialist,Windsor,2
Eversource-Energy,Human Resource Representative,Manchester,5
Eversource-Energy,PROJECT COORDINATOR,Berlin,3
Eversource-Energy,Engineering Manager,Manchester,3
Eversource-Energy,Customer Service Rep 4,Windsor,2
Eversource-Energy,Co-op Student,Boston,4
Eversource-Energy,Senior Event Planner,Berlin,4
Eversource-Energy,Human Resources,Westwood,5
Eversource-Energy,Customer Service Lead Rep,Berlin,5
Eversource-Energy,Analyst,Berlin,5
Eversource-Energy,Engineer,Hartford,5
Eversource-Energy,Customer service representative III,Manchester,5
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Systems Engineer,Berlin,4
Eversource-Energy,management,Berlin,5
Eversource-Energy,Business Application Systems Developer,Berlin,4
Eversource-Energy,"daily basis, as well as senior management",Berlin,4
Eversource-Energy,Ergonomics Injury Prevention Specialist,Berlin,5
Eversource-Energy,Working Foreman/Electric Distribution,Newport,4
Eversource-Energy,Distribution system operator,Berlin Ct,5
Eversource-Energy,Electrical System Control Center - Intern,Manchester,4
Eversource-Energy,Credit and Collections Specialist,Windsor,2
Eversource-Energy,Human Resource Representative,Manchester,5
Eversource-Energy,PROJECT COORDINATOR,Berlin,3
Eversource-Energy,Engineering Manager,Manchester,3
Eversource-Energy,Customer Service Rep 4,Windsor,2
Eversource-Energy,Co-op Student,Boston,4
Eversource-Energy,Senior Event Planner,Berlin,4
Eversource-Energy,Human Resources,Westwood,5
Eversource-Energy,Customer Service Lead Rep,Berlin,5
Eversource-Energy,Analyst,Berlin,5
Eversource-Energy,Engineer,Hartford,5
Eversource-Energy,Customer service representative III,Manchester,5
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Gas Supply Co-op,Westwood,3
Eversource-Energy,Human Resources,Westwood,5
Eversource-Energy,Engineering Manager,Manchester,3
Eversource-Energy,Materials Coordinator,Hoocksett,4
Eversource-Energy,Market Research Analyst,Westwood,4
Eversource-Energy,Senior Security Systems Engineer,Berlin,3
Eversource-Energy,Working Foreman/Electric Distribution,Newport,4
Eversource-Energy,Data/Business Analyst,Boston,4
Eversource-Energy,"Manager, Investment Planning",Boston,3
Eversource-Energy,Credit and Collections Specialist,Windsor,2
Eversource-Energy,Intern,Westwood,5
Eversource-Energy,Auditor,Berlin,5
Eversource-Energy,Lead Engineer - Substation Technical Group,Westwood,5
Eversource-Energy,GIS Drafting Tecnician,Boston,5
Eversource-Energy,CL&P Temp,Windsor CT,5
Eversource-Energy,Business Application Systems Developer,Berlin,4
Eversource-Energy,Customer Service Lead Rep,Berlin,5
Eversource-Energy,Customer Service Representative,Windsor,3
Eversource-Energy,Customer Service Representative/ Supervisor,Windsor,5
Eversource-Energy,AREA ADMINISTRATOR,New Britain,2
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Gas Supply Co-op,Westwood,3
Eversource-Energy,Human Resources,Westwood,5
Eversource-Energy,Engineering Manager,Manchester,3
Eversource-Energy,Materials Coordinator,Hoocksett,4
Eversource-Energy,Market Research Analyst,Westwood,4
Eversource-Energy,Senior Security Systems Engineer,Berlin,3
Eversource-Energy,Working Foreman/Electric Distribution,Newport,4
Eversource-Energy,Data/Business Analyst,Boston,4
Eversource-Energy,"Manager, Investment Planning",Boston,3
Eversource-Energy,Credit and Collections Specialist,Windsor,2
Eversource-Energy,Intern,Westwood,5
Eversource-Energy,Auditor,Berlin,5
Eversource-Energy,Lead Engineer - Substation Technical Group,Westwood,5
Eversource-Energy,GIS Drafting Tecnician,Boston,5
Eversource-Energy,CL&P Temp,Windsor CT,5
Eversource-Energy,Business Application Systems Developer,Berlin,4
Eversource-Energy,Customer Service Lead Rep,Berlin,5
Eversource-Energy,Customer Service Representative,Windsor,3
Eversource-Energy,Customer Service Representative/ Supervisor,Windsor,5
Eversource-Energy,AREA ADMINISTRATOR,New Britain,2
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Chief Accounting Clerk,Windsor,5
Eversource-Energy,Inspector WRAP Program,New Britain,5
Eversource-Energy,Credit Specialist,Windsor,5
Eversource-Energy,Bilingual Customer Service Representative,Windsor,5
Eversource-Energy,IT Lead Auditor,Hartford,4
Eversource-Energy,Customer service/ credit collections,Windsor,4
Eversource-Energy,Entry level position in Internal Audit,Berlin,4
Eversource-Energy,Sr. Programmer Analyst,Boston,2
Eversource-Energy,"Engineer, Distribution Operation Management",Berlin,4
Eversource-Energy,Electrical Operations Supervisor,Boston,5
Eversource-Energy,BUSINESS APPLICATION DEVELOPER - LEVEL,Manchester,4
Eversource-Energy,Systems Engineer,Berlin,4
Eversource-Energy,Customer Service Representative,Windsor,3
Eversource-Energy,Intern,Hartford,4
Eversource-Energy,Credit and Collections,Windsor,3
Eversource-Energy,Team Leader,Berlin,3
Eversource-Energy,Business Contact Center Representative,Windsor,5
Eversource-Energy,Office & Administrative,Berlin,5
Eversource-Energy,Customer Service Representative/CSR A,Windsor,5
Eversource-Energy,Contributions Admin/Admin Asst-Com Rel & Econ Dev,Berlin,4
Eversource-Energy,ELECTRIC OPERATIONS SUPERVISOR,Boston,5
Eversource-Energy,Chief Accounting Clerk,Windsor,5
Eversource-Energy,Inspector WRAP Program,New Britain,5
Eversource-Energy,Credit Specialist,Windsor,5
Eversource-Energy,Bilingual Customer Service Representative,Windsor,5
