Company,Title,Location,Rating
Gap,Cashier/Customer Service,Watertown,4
Gap,Retail Sales Associate,Bradley,4
Gap,Old Navy,Tampa,3
Gap,Loss Prevention Agent,Marshall,5
Gap,Assistant Manager,Corpus Christi,2
Gap,Sales Associate,Murray,5
Gap,Assisting in fitting room,Asheville,4
Gap,Department Specialist,Jackson,4
Gap,Sales Associate,Puerto Rico,3
Gap,Brand Ambassador,Farmington,1
Gap,Intern,San Francisco,5
Gap,Sales Associate,New York,5
Gap,Sales Associate,Arlington,2
Gap,Supervisor,Groveport,4
Gap,Merchandise Handler,Gallatin,3
Gap,"Customer Service, Cashier, Merchandising",Wayne,5
Gap,Manager,Long Beach,3
Gap,Sellebrity Coach,Tempe,3
Gap,Real Estate Manager,Atlanta,5
Gap,Sales Associate,Barstow,5
Gap,DevOps/Build and Release Engineer,Pleasanton,4
Gap,Cashier/Customer Service,Watertown,4
Gap,Sales Associate,N Charleston,2
Gap,Men's department lead,DuBois,5
Gap,cashier,City of Sunrise,4
Gap,Product Support Analyst - GapTech Customer Support,San Francisco,3
Gap,Merchandise Handler,110 merrit blvd,3
Gap,Assistant Manager,Queenstown,3
Gap,Sales associate,Frisco,4
Gap,Assistant Manager,Baraboo,5
Gap,Loss Prevention Associate,New York,4
Gap,Assistant General Manager,New York,4
Gap,"Senior Staffing, Sales Associate",Chevy Chase,4
Gap,Stock Supervisor,Cypress,3
Gap,Associate Manager,Livermore,5
Gap,Visual Merchandiser/Sales Rep,San Diego,3
Gap,Sales Associate,Paramus,4
Gap,Merchandise Processor,Groveport,5
Gap,Cashier,Reading,5
Gap,Sales Associate/Merchandiser in Training,Atlanta,4
Gap,Sales,Greenville,3
Gap,Communications Coordinator - Japanese,Rocklin,5
Gap,Cashier/Customer Service,Watertown,4
Gap,Sales Associate,N Charleston,2
Gap,Men's department lead,DuBois,5
Gap,cashier,City of Sunrise,4
Gap,Product Support Analyst - GapTech Customer Support,San Francisco,3
Gap,Merchandise Handler,110 merrit blvd,3
Gap,Assistant Manager,Queenstown,3
Gap,Sales associate,Frisco,4
Gap,Assistant Manager,Baraboo,5
Gap,Loss Prevention Associate,New York,4
Gap,Assistant General Manager,New York,4
Gap,"Senior Staffing, Sales Associate",Chevy Chase,4
Gap,Stock Supervisor,Cypress,3
Gap,Associate Manager,Livermore,5
Gap,Visual Merchandiser/Sales Rep,San Diego,3
Gap,Sales Associate,Paramus,4
Gap,Merchandise Processor,Groveport,5
Gap,Cashier,Reading,5
Gap,Sales Associate/Merchandiser in Training,Atlanta,4
Gap,Sales,Greenville,3
Gap,Communications Coordinator - Japanese,Rocklin,5
Gap,Cashier/Customer Service,Watertown,4
Gap,Full Time Sales Lead,Pooler,4
Gap,Stock Supervisor,Castle Rock,5
Gap,Old Navy,Tampa,3
Gap,Credit Card specialist,Miami,5
Gap,Returns Processor,Columbus,5
Gap,Intern,San Francisco,5
