Company,Title,Location,Rating
OneBeacon-Insurance-Group,Associate Recruiter (Contract),Canton,3
OneBeacon-Insurance-Group,Enterprise Market Research Analytics (EMRA) Intern,Farmington,4
OneBeacon-Insurance-Group,Private,Private,4
OneBeacon-Insurance-Group,Underwriter,Farmington,1
OneBeacon-Insurance-Group,Staff Coordinator,Philadelphia,5
OneBeacon-Insurance-Group,Consultant,Farmington,4
OneBeacon-Insurance-Group,Personal Lines Assistant/Data Entry Clerk,Portland,5
OneBeacon-Insurance-Group,Customer Service Representative,Canton ma,1
OneBeacon-Insurance-Group,Examiner,Denver,5
OneBeacon-Insurance-Group,Software Developer,Canton,5
OneBeacon-Insurance-Group,Legal Secretary,Minnetonka,3
OneBeacon-Insurance-Group,Senior Claims Assistant,Denver,4
OneBeacon-Insurance-Group,Sr. Account Collection Associate,Philadelphia,3
OneBeacon-Insurance-Group,Sr. Administrative Assistant - Finance,Minnetonka,4
OneBeacon-Insurance-Group,Senior QA Engineer,Foxborough,3
OneBeacon-Insurance-Group,Technical Specialist,Canton,4
OneBeacon-Insurance-Group,Claim Customer Service Representative,Canton,5
OneBeacon-Insurance-Group,Automation Tester,Salem,4
OneBeacon-Insurance-Group,Claims,Canton,5
OneBeacon-Insurance-Group,Underwriter,Farmington,2
OneBeacon-Insurance-Group,Claims Rep,Williamsville,4
OneBeacon-Insurance-Group,Associate Recruiter (Contract),Canton,3
OneBeacon-Insurance-Group,Claim Customer Service Representative,Canton,5
OneBeacon-Insurance-Group,Claims,Canton,5
OneBeacon-Insurance-Group,Applications Manager,Philadelphia,1
OneBeacon-Insurance-Group,Sr. Account Collection Associate,Philadelphia,3
