,Company,Title,Location,Rating,Work/Life Balance,Benefit,Security,Culture
0,Accion-International,Communications,Greater_Boston_Area,4.0,none,5,none,5
1,Accion-International,Communications,Greater_Boston_Area,4.0,none,none,5,none
2,Advanced-Micro-Devices--Inc-,"Co-op Engineer, Technology SoC team",Greater_Boston_Area,5.0,3,5,5,5
3,Advanced-Micro-Devices--Inc-,"Co-op Engineer, Technology SoC team",Greater_Boston_Area,5.0,4,5,5,4
4,AIR Worldwide,Risk Data Modelling Analyst - Scrum Master,Greater_Boston_Area,3.0,4,5,4,5
5,AIR Worldwide,Senior Technical Writer,Greater_Boston_Area,5.0,5,5,5,5
6,AIR Worldwide,Senior Database Engineer,Greater_Boston_Area,4.0,5,5,5,5
7,AIR Worldwide,do not give out,Greater_Boston_Area,3.0,4,5,2,4
8,AIR Worldwide,Software Engineer III,Greater_Boston_Area,4.0,4,5,5,5
9,AIR Worldwide,QA Software Engineer,Greater_Boston_Area,4.0,4,5,5,4
10,AIR Worldwide,Risk Data Modelling Analyst - Scrum Master,Greater_Boston_Area,3.0,5,5,5,5
11,AIR Worldwide,Senior Technical Writer,Greater_Boston_Area,5.0,4,5,none,4
12,AIR Worldwide,do not give out,Greater_Boston_Area,3.0,2,4,1,3
13,AIR Worldwide,QA Software Engineer,Greater_Boston_Area,4.0,4,5,4,4
14,AIR Worldwide,Senior Database Engineer,Greater_Boston_Area,4.0,5,5,5,5
15,AIR Worldwide,Software Engineer III,Greater_Boston_Area,4.0,3,5,5,5
16,AIR-Worldwide,Risk Data Modelling Analyst - Scrum Master,Greater_Boston_Area,3.0,4,5,5,4
17,AIR-Worldwide,Senior Technical Writer,Greater_Boston_Area,5.0,5,5,5,5
18,AIR-Worldwide,do not give out,Greater_Boston_Area,3.0,5,5,none,5
19,AIR-Worldwide,QA Software Engineer,Greater_Boston_Area,4.0,4,4,5,3
20,AIR-Worldwide,Senior Database Engineer,Greater_Boston_Area,4.0,3,5,4,4
21,AIR-Worldwide,Software Engineer III,Greater_Boston_Area,4.0,4,5,none,4
22,AIR-Worldwide,Risk Data Modelling Analyst - Scrum Master,Greater_Boston_Area,3.0,4,5,5,5
23,AIR-Worldwide,Senior Technical Writer,Greater_Boston_Area,5.0,2,5,5,5
24,AIR-Worldwide,do not give out,Greater_Boston_Area,3.0,4,5,5,4
25,AIR-Worldwide,QA Software Engineer,Greater_Boston_Area,4.0,5,5,5,5
26,AIR-Worldwide,Senior Database Engineer,Greater_Boston_Area,4.0,5,5,5,5
27,AIR-Worldwide,Software Engineer III,Greater_Boston_Area,4.0,5,5,4,5
28,Akamai,Senior Technical Program Manager,Greater_Boston_Area,5.0,5,5,5,5
29,Akamai,Senior Software Engineer III (L6),Greater_Boston_Area,4.0,2,4,none,3
30,Akamai,Marketing/Analyst Coordinator,Greater_Boston_Area,5.0,5,5,4,3
31,Akamai,Non-technical position,Greater_Boston_Area,2.0,5,4,5,4
32,Akamai,Human Resources Intern in Talent Acquisition,Greater_Boston_Area,5.0,4,5,none,5
33,Akamai,Business Systems Analyst,Greater_Boston_Area,5.0,5,5,5,5
34,Akamai,"Information Security, Technical Program Manager II",Greater_Boston_Area,3.0,5,5,5,5
35,Akamai,Account Payable Specialist,Greater_Boston_Area,3.0,4,5,4,5
