Company,Title,Rating,Work/Life Balance,Benefit,Security,Culture
AIR Worldwide,QA Software Engineer,4.00,3.50,5.00,4.00,3.00
AIR Worldwide,Risk Data Modelling Analyst - Scrum Master,3.00,3.00,3.00,3.50,3.50
AIR Worldwide,Senior Database Engineer,4.00,4.50,2.00,3.50,3.50
AIR Worldwide,Senior Technical Writer,5.00,3.00,3.00,3.50,4.00
AIR Worldwide,Software Engineer III,4.00,4.50,3.00,3.50,3.00
AIR Worldwide,do not give out,3.00,3.50,2.50,2.50,4.00
AIR-Worldwide,QA Software Engineer,4.00,4.50,2.00,5.00,4.50
AIR-Worldwide,Risk Data Modelling Analyst - Scrum Master,3.00,2.50,3.00,3.50,4.00
AIR-Worldwide,Senior Database Engineer,4.00,2.50,3.00,4.00,3.50
AIR-Worldwide,Senior Technical Writer,5.00,3.50,2.50,4.00,2.50
AIR-Worldwide,Software Engineer III,4.00,2.50,3.00,4.00,3.00
AIR-Worldwide,do not give out,3.00,4.50,4.50,4.00,4.50
AMERICAN-CANCER-SOCIETY,ASSOCIATE DIRECTOR INCOME DEVELOPMENT,4.00,5.00,4.50,4.00,4.50
AMERICAN-CANCER-SOCIETY,Account Manager - Corporate Relations,2.00,4.00,2.50,5.00,3.50
AMERICAN-CANCER-SOCIETY,Account Manager Corporate Relations,3.00,2.00,3.00,4.50,3.50
AMERICAN-CANCER-SOCIETY,Account Manager Corporate Relationships,2.00,3.00,5.00,3.00,3.00
AMERICAN-CANCER-SOCIETY,Account Manager Health Systems,4.00,5.00,5.00,3.00,3.00
AMERICAN-CANCER-SOCIETY,Accounting Internship,5.00,3.00,3.50,2.50,2.50
AMERICAN-CANCER-SOCIETY,Active Committee Member,5.00,4.75,4.75,4.00,4.00
AMERICAN-CANCER-SOCIETY,Administrative Aid,4.00,3.50,3.50,4.00,4.00
AMERICAN-CANCER-SOCIETY,Administrative Assistant,4.00,3.52,3.41,3.63,3.41
AMERICAN-CANCER-SOCIETY,Administrative Assistant Intern,5.00,5.00,5.00,4.00,2.00
AMERICAN-CANCER-SOCIETY,Administrative Assistant--Community Manager,4.00,1.00,3.00,5.00,5.00
AMERICAN-CANCER-SOCIETY,Administrative Assistant/Receptionist,4.00,3.00,2.00,3.00,2.00
AMERICAN-CANCER-SOCIETY,Administrative Receptionist,5.00,4.00,2.00,5.00,4.00
AMERICAN-CANCER-SOCIETY,Administrative Specialist,4.00,4.75,3.50,3.75,4.50
AMERICAN-CANCER-SOCIETY,Administrative Support,5.00,3.50,3.00,4.00,3.50
AMERICAN-CANCER-SOCIETY,Administrative Volunteer/Relay for Life Department,5.00,4.33,3.33,4.33,2.33
AMERICAN-CANCER-SOCIETY,Administrative and Special Events Volunteer,4.00,4.00,4.00,4.00,5.00
AMERICAN-CANCER-SOCIETY,Administrative assistant,5.00,3.50,4.50,3.50,3.00
AMERICAN-CANCER-SOCIETY,Administrative/Staff Assistant,4.00,3.67,4.67,3.67,3.33
AMERICAN-CANCER-SOCIETY,Advocacy Director,5.00,5.00,3.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,American Cancer Society,1.00,4.00,2.33,3.33,3.67
AMERICAN-CANCER-SOCIETY,American Cancer Society Assistant,5.00,3.00,4.67,3.00,4.00
AMERICAN-CANCER-SOCIETY,Annual Signature Event Manager,5.00,5.00,3.00,3.00,5.00
AMERICAN-CANCER-SOCIETY,Application Support Senior Manager,4.00,2.00,3.00,3.50,3.00
AMERICAN-CANCER-SOCIETY,Area Executive Director,4.57,2.86,4.14,2.43,4.29
AMERICAN-CANCER-SOCIETY,Asisstant to the Director of Public Relations,5.00,3.50,4.00,4.25,3.25
AMERICAN-CANCER-SOCIETY,Assist local civic organizations,5.00,3.00,2.50,4.50,4.00
AMERICAN-CANCER-SOCIETY,Assistant,2.33,3.67,4.33,4.00,3.67
AMERICAN-CANCER-SOCIETY,Assistant Manager,4.00,3.33,3.33,3.00,4.00
AMERICAN-CANCER-SOCIETY,Attendee Management Lead Coordinator,5.00,4.00,2.00,4.00,1.00
AMERICAN-CANCER-SOCIETY,BILINGUAL COUNSELOR,3.00,3.00,1.00,4.00,1.00
AMERICAN-CANCER-SOCIETY,BUSINESS ANALYST,4.00,4.00,4.00,3.50,2.50
AMERICAN-CANCER-SOCIETY,Bilingual Addiction Counselor,2.00,4.00,3.00,3.00,2.33
AMERICAN-CANCER-SOCIETY,Bilingual Cancer Information Specialist,3.50,3.67,2.67,3.67,3.67
AMERICAN-CANCER-SOCIETY,Board Member,5.00,2.50,2.50,2.50,2.00
AMERICAN-CANCER-SOCIETY,Board Member Mission Delivery Reach to Recovery,4.00,5.00,5.00,4.00,1.00
AMERICAN-CANCER-SOCIETY,Breast Cancer Recruiter,5.00,5.00,2.50,3.50,3.50
AMERICAN-CANCER-SOCIETY,Business Content / Reporting Analyst (Contractor),4.00,2.50,4.50,2.00,4.00
AMERICAN-CANCER-SOCIETY,CANCER CONTROL OUTREACH SPECIALIST,5.00,2.50,3.00,4.00,5.00
AMERICAN-CANCER-SOCIETY,CO-CHAIR VOLUNTEER RELAY FOR LIFE,4.00,3.00,5.00,1.00,3.00
AMERICAN-CANCER-SOCIETY,COMMUNITY SERVICES MANAGER,3.00,5.00,3.00,5.00,5.00
AMERICAN-CANCER-SOCIETY,Call Center Representative,5.00,2.00,2.00,4.00,3.00
AMERICAN-CANCER-SOCIETY,Call Center Representative Charitable Funds,5.00,5.00,4.00,3.00,3.50
AMERICAN-CANCER-SOCIETY,Call center fundraiser,5.00,1.00,3.00,1.00,3.00
AMERICAN-CANCER-SOCIETY,Camp Counselor/Program Staff,5.00,3.25,2.75,3.75,2.50
AMERICAN-CANCER-SOCIETY,Campaign Coordinator,5.00,3.00,3.00,3.00,3.00
AMERICAN-CANCER-SOCIETY,Campaign Manager,5.00,3.00,1.67,4.33,4.67
AMERICAN-CANCER-SOCIETY,Cancer Information Specalist,5.00,4.00,4.50,3.50,3.00
AMERICAN-CANCER-SOCIETY,Cancer Information Specialist,2.61,3.30,3.65,3.70,3.48
AMERICAN-CANCER-SOCIETY,Cancer Resource Specialist,5.00,2.50,5.00,4.50,4.00
AMERICAN-CANCER-SOCIETY,Cashier and stock room worker Volunteer,5.00,2.67,3.33,2.67,2.33
AMERICAN-CANCER-SOCIETY,Certifications/Volunteer Work,4.00,2.50,3.00,1.50,4.00
AMERICAN-CANCER-SOCIETY,Co-Chairperson Relay for Life,4.00,4.00,3.50,3.00,3.50
AMERICAN-CANCER-SOCIETY,College Event Manager,3.00,4.00,2.00,3.00,2.00
AMERICAN-CANCER-SOCIETY,Committee - Accounting Chair,5.00,3.50,4.50,2.50,4.00
AMERICAN-CANCER-SOCIETY,Communications Coordinator,5.00,2.67,3.33,4.33,3.33
AMERICAN-CANCER-SOCIETY,Communications/Marketing Intern,5.00,3.00,4.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Community Development Director,3.00,5.00,4.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Community Development Manager,3.33,3.33,2.67,2.67,4.33
AMERICAN-CANCER-SOCIETY,Community Engagement Manager,3.00,3.00,4.00,2.50,4.00
AMERICAN-CANCER-SOCIETY,Community Events Support,5.00,1.50,5.00,2.50,4.50
AMERICAN-CANCER-SOCIETY,Community Executive,1.00,5.00,3.00,5.00,1.00
AMERICAN-CANCER-SOCIETY,Community Executive/Income Development,5.00,3.00,3.33,3.67,2.33
AMERICAN-CANCER-SOCIETY,Community Health Advisor (CHA) Specialist,5.00,4.00,3.50,2.50,4.00
AMERICAN-CANCER-SOCIETY,Community Income Development Manager,4.00,2.00,3.50,4.00,4.00
AMERICAN-CANCER-SOCIETY,Community Information Specialist,3.00,5.00,4.00,3.00,3.50
AMERICAN-CANCER-SOCIETY,Community Manager,3.17,3.63,3.70,3.37,3.46
AMERICAN-CANCER-SOCIETY,Community Manager - Development,5.00,4.00,5.00,2.00,5.00
AMERICAN-CANCER-SOCIETY,Community Manager Health Initiatives,5.00,3.50,3.25,3.75,3.50
AMERICAN-CANCER-SOCIETY,Community Manager Relay For Life,2.85,3.54,3.31,3.38,3.77
AMERICAN-CANCER-SOCIETY,Community Manager Special Events,2.00,3.00,5.00,5.00,2.00
AMERICAN-CANCER-SOCIETY,Community Manager Specialist Relay For Life,3.00,4.00,3.00,5.00,1.00
