,Company,Title,Location,Rating
0,Accion-International,Communications,Boston,4.0
1,Accion-International,Communications,Boston,4.0
2,Advanced-Micro-Devices--Inc-,"Co-op Engineer, Technology SoC team",Boston,5.0
3,Advanced-Micro-Devices--Inc-,"Co-op Engineer, Technology SoC team",Boston,5.0
4,AIR Worldwide,Risk Data Modelling Analyst - Scrum Master,Boston,3.0
5,AIR Worldwide,Senior Technical Writer,Boston,5.0
6,AIR Worldwide,Senior Database Engineer,Boston,4.0
7,AIR Worldwide,do not give out,Boston,3.0
8,AIR Worldwide,Software Engineer III,Boston,4.0
9,AIR Worldwide,QA Software Engineer,Boston,4.0
10,AIR Worldwide,Risk Data Modelling Analyst - Scrum Master,Boston,3.0
11,AIR Worldwide,Senior Technical Writer,Boston,5.0
12,AIR Worldwide,do not give out,Boston,3.0
13,AIR Worldwide,QA Software Engineer,Boston,4.0
14,AIR Worldwide,Senior Database Engineer,Boston,4.0
15,AIR Worldwide,Software Engineer III,Boston,4.0
16,AIR-Worldwide,Risk Data Modelling Analyst - Scrum Master,Boston,3.0
17,AIR-Worldwide,Senior Technical Writer,Boston,5.0
18,AIR-Worldwide,do not give out,Boston,3.0
19,AIR-Worldwide,QA Software Engineer,Boston,4.0
20,AIR-Worldwide,Senior Database Engineer,Boston,4.0
21,AIR-Worldwide,Software Engineer III,Boston,4.0
22,AIR-Worldwide,Risk Data Modelling Analyst - Scrum Master,Boston,3.0
23,AIR-Worldwide,Senior Technical Writer,Boston,5.0
24,AIR-Worldwide,do not give out,Boston,3.0
25,AIR-Worldwide,QA Software Engineer,Boston,4.0
26,AIR-Worldwide,Senior Database Engineer,Boston,4.0
27,AIR-Worldwide,Software Engineer III,Boston,4.0
28,Akamai,Business Analyst & Data Analyst,Boston,3.0
29,Allscripts,Senior Business Analyst,Boston,4.0
30,Allscripts,Senior Business Analyst,Boston,4.0
31,Allscripts,Senior Business Analyst,Boston,4.0
32,Allscripts,Senior Business Analyst,Boston,4.0
33,Allscripts,Senior Business Analyst,Boston,4.0
34,Allscripts,Senior Business Analyst,Boston,4.0
35,Allscripts,Senior Business Analyst,Boston,4.0
36,Allscripts,Senior Business Analyst,Boston,4.0
37,Allscripts,Senior Business Analyst,Boston,4.0
38,Allscripts,Senior Business Analyst,Boston,4.0
39,Allscripts,Senior Business Analyst,Boston,4.0
40,Allscripts,Senior Business Analyst,Boston,4.0
41,Allscripts,Senior Business Analyst,Boston,4.0
42,Allscripts,Senior Business Analyst,Boston,4.0
43,Allscripts,Senior Business Analyst,Boston,4.0
44,Allscripts,Senior Business Analyst,Boston,4.0
45,Allscripts,Senior Business Analyst,Boston,4.0
46,Allscripts,Senior Business Analyst,Boston,4.0
47,Altman-Vilandrie---Company,Consultant (Summer Associate),Boston,4.0
48,Altman-Vilandrie---Company,Analyst,Boston,5.0
49,Altman-Vilandrie---Company,Consultant (Summer Associate),Boston,4.0
50,Altman-Vilandrie---Company,Analyst,Boston,5.0
51,Amadeus,Airline IT Support Analyst,Waltham,5.0
52,Amadeus,Receptionist,Waltham,3.0
53,Amadeus,Airline IT Support Analyst,Waltham,5.0
54,Amadeus,Receptionist,Waltham,3.0
55,Ameresco,Regional Director,Framingham,3.0
56,Ameresco,Accounting Assistant,Framingham,3.0
57,Ameresco,Regional Director,Framingham,3.0
58,AMERICAN-CANCER-SOCIETY,"Office Assistant, volunteer.",Framingham,5.0
59,AMERICAN-CANCER-SOCIETY,"Office Assistant, volunteer.",Framingham,5.0
60,AMERICAN-CANCER-SOCIETY,"Office Assistant, volunteer.",Framingham,5.0
61,AMERICAN-CANCER-SOCIETY,Technical Manager Desktop COE,Framingham,5.0
62,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0
63,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0
64,AMERICAN-CANCER-SOCIETY,Technical Manager Desktop COE,Framingham,5.0
65,AMERICAN-CANCER-SOCIETY,Administrative Specialist,Framingham,3.0
66,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0
67,AMERICAN-CANCER-SOCIETY,Administrative Specialist,Framingham,3.0
68,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0
69,American-Student-Assistance,Business Analyst Assistant,Boston,5.0
70,American-Student-Assistance,Counselor,Boston,2.0
71,American-Student-Assistance,Call Center Associate,Boston,4.0
72,American-Student-Assistance,Claim and Loan Processor,Boston,5.0
73,American-Student-Assistance,Senior loan information specialist,Boston,4.0
74,American-Student-Assistance,Senior Counselor,Boston,4.0
75,American-Student-Assistance,Senior Human Resources Business Partner,Boston,4.0
76,American-Student-Assistance,SOFTWARE ENGINEER,Boston,5.0
77,American-Student-Assistance,Manager of Treasury Operations,Boston,5.0
78,American-Student-Assistance,Technical Support Lead Engineer,Boston,3.0
79,American-Student-Assistance,Senior Product Manager,Boston,3.0
80,American-Student-Assistance,Corporate Sponsorship Manager,Boston,4.0
81,American-Student-Assistance,Technical Manager - Performance\QA,Boston,4.0
82,American-Student-Assistance,Web Developer (Co-op),Boston,4.0
83,American-Student-Assistance,Senior Desktop Support Engineer,Boston,2.0
84,American-Student-Assistance,Web Development/Design Intern,Boston,5.0
85,American-Student-Assistance,Wellness Counselor/Payment Advisor,Boston,5.0
86,American-Student-Assistance,Technical Support Lead Engineer,Boston,4.0
87,American-Student-Assistance,Test,Boston,5.0
88,American-Student-Assistance,Business Analyst Assistant,Boston,5.0
89,American-Student-Assistance,Counselor,Boston,2.0
90,American-Student-Assistance,Senior Counselor,Boston,4.0
91,American-Student-Assistance,Senior Human Resources Business Partner,Boston,4.0
92,American-Student-Assistance,Senior Product Manager,Boston,3.0
93,American-Student-Assistance,Technical Support Lead Engineer,Boston,3.0
94,American-Student-Assistance,Call Center Associate,Boston,4.0
95,American-Student-Assistance,Claim and Loan Processor,Boston,5.0
96,American-Student-Assistance,SOFTWARE ENGINEER,Boston,5.0
97,American-Student-Assistance,Senior loan information specialist,Boston,4.0
98,American-Student-Assistance,Web Development/Design Intern,Boston,5.0
99,American-Student-Assistance,Manager of Treasury Operations,Boston,5.0
100,American-Student-Assistance,Test,Boston,5.0
101,American-Student-Assistance,Corporate Sponsorship Manager,Boston,4.0
102,American-Student-Assistance,Senior Desktop Support Engineer,Boston,2.0
103,American-Student-Assistance,Technical Manager - Performance\QA,Boston,4.0
104,American-Student-Assistance,Web Developer (Co-op),Boston,4.0
105,American-Student-Assistance,Wellness Counselor/Payment Advisor,Boston,5.0
106,American-Student-Assistance,Technical Support Lead Engineer,Boston,4.0
107,American-Tower,Tax Intern,Boston,4.0
108,American-Tower,Tax Intern,Boston,4.0
109,American-Tower,Tax Intern,Boston,4.0
110,American-Tower,Oracle System Engineer,Boston,3.0
111,American-Tower,Tax Intern,Boston,4.0
112,American-Tower,Tax Intern,Boston,5.0
113,American-Tower,Regional Human Resources Manager,Boston,5.0
114,American-Tower,Tax Intern,Boston,4.0
115,American-Tower,Regional Human Resources Manager,Boston,5.0
116,American-Tower,Oracle System Engineer,Boston,3.0
117,American-Tower,Tax Intern,Boston,4.0
118,Ameriprise-Financial,Human Resources,Boston,4.0
119,Ameriprise-Financial,Human Resources,Boston,4.0
120,Ameriprise-Financial,"Vice President, Mutual Fund Operations",Boston,4.0
121,Ameriprise-Financial,Human Resources,Boston,4.0
122,Ameriprise-Financial,Human Resources,Boston,4.0
123,Ameriprise-Financial,Human Resources,Boston,4.0
124,Ameriprise-Financial,Human Resources,Boston,4.0
125,Ameriprise-Financial,Human Resources,Boston,4.0
126,Ameriprise-Financial,Human Resources,Boston,4.0
127,Ameriprise-Financial,Human Resources,Boston,4.0
128,Ameriprise-Financial,Planning Assistant,Plymouth,4.0
129,Ameriprise-Financial,Human Resources,Boston,4.0
130,Ameriprise-Financial,Service Delivery Manager,Boston,1.0
131,Ameriprise-Financial,"Vice President, Mutual Fund Operations",Boston,4.0
132,Ameriprise-Financial,Human Resources,Boston,4.0
